recipe_id,chicken_lb,rice_cups,asparagus_lb,extra_name,extra_cost_usd,extra_is_pantry_staple,serving_count,claimed_cost_per_serving,chicken_price_used
R-81,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25.0
R-82,1.5,2.0,1.0,none,0.0,False,3,1.6,4.25
R-83,0.5,1.0,0.5,spice,6.0,TRUE!,2,2.0,4.25
R-84,0.75,1.5,0.5,parmesan,1.5,False,2,1.0,4.0
R-85,0.5,0.5,0.5,none,0.0,False,0.000,2.0,4.25
R-86,0.5,0.5,0.5,garnish,0.01,False,2,1.895,4.25
R-87,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25
R-87,0.3,0.5,0.3,none,0.0,False,2,1.5,4.0
R-88,0.5,0.5,0.5,none,0.0,False,+0,2.0,4.25
R-89,0.3,0.5,0.3,water,0.00,True,2,1.5,4.25
R-90,0.3,0.5,0.3,none,0.0,False,2,5.0,4.0
R-91,1.0,2.0,1.0,none,0.0,False,1,6.0,4.25
R-92,0.5,1.0,0.5,herbs,4.0, yes ,2,2.0,4.25
R-93,0.3,0.5,0.3,none,0.0,False,2,1.5,4.2500
R-94,0.3,0.5,0.3,none,0.0,False, 2 ,1.5,4.25
R-95,0.5,1.0,0.5,garlic,3.0,True,2,2.0,4.25
R-96,0.5,0.5,0.5,none,0.0,False,,2.0,4.0
R-97,10.0,20.0,10.0,none,0.0,False,100,0.50,4.25
R-98,0.5,1.0,0.5,spice,3.0,Y,2,2.0,4.25
R-99,0.5,0.5,0.5,none,0.0,False,2,2.0,4.0
R-99,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25
R-100,0.3,0.5,0.3,none,0.0,False,2,1.5,4.3
R-101,0.5,1.0,0.5,saffron,10.0,  ,2,2.0,4.25
R-102,2.0,3.0,1.0,none,0.0,False,1e1,1.2,4.25
R-103,0.5,0.5,0.5,none,0.0,False,3/2,2.0,4.25
R-104,0.3,0.5,0.3,none,0.0,False,2,1.5,$4.25
R-105,0.5,1.0,0.5,discount,-1.50,False,2,2.0,4.25
R-106,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25
R-106,0.5,1.0,0.5,parmesan,1.5,False,2,3.0,4.25
R-106,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25
R-106,0.5,0.5,0.5,none,0.0,False,2,2.0,4.25
R-106,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25
R-106,0.3,0.5,0.3,none,0.0,False,2,1.5,4.0
R-107,0.5,1.0,0.5,spice,,True,2,2.0,4.25
R-108,0.5,0.5,0.5,none,0.0,False,2,2.0375,4.25
R-109,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25000
R-110,0.5,0.5,0.5,garnish,0.501,False,2,2.0375,4.25
R-111,0.3,0.5,0.3,none,0.0,False,2.50,1.5,4.25
r-112,0.5,0.5,0.5,none,0.0,False,2,2.0,4.0
R-112,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25
R-113,0.3,0.5,0.3,none,0.0,False,2,1.5,"4.25
"
R-	114,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25
R-115,0.3,0.5,0.3,sauce,0.25,False,2,1.5,4.25
R-116,1.0,1.0,1.0,none,0.0,False,1.0,8.15,4.25
R-117,0.5,1.0,0.5,truffle,5.0,True,2,2.2,4.25
R-118,0.75,1.0,0.5,parmesan,1.5,False,0,1.0,4.0
R-119,0.3,0.5,0.3,none,0.0,False,2,1.5, 4.25
R-120,0.5,0.5,0.5,none,0.0,False,0,2.0,4.25
R-120,0.3,0.5,0.3,none,0.0,False,,1.5,4.25
R-120,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25
R-121,0.5,0.5,0.5,none,0.0,False,0.1,40.75,4.25
R-122,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25
R-123,0.3,0.5,0.3,none,0.0,False,2,1.5,four
R-124,0.5,1.0,0.5,spice,8.0,TRUE ,2,2.0,4.25
R-125,0.3,0.5,0.3,none,0.0,False,  +2  ,1.5,4.25
R-126,3.0,5.0,2.0,none,0.0,False,20,1.125,4.25
R-127,0.3,0.5,0.3,none,0.0,False,2,1.5, 4.00 
R-128,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25
R-128,0.5,0.5,0.5,none,0.0,False,2,2.0,4.0
R-129,0.5,1.0,0.5,saffron,3.25,False,2,2.0,4.25
R-130,0.3,0.5,0.3,none,0.0,False,0.999999,2.575003,4.25
R-131,0.5,1.0,0.5,none,0.0,False,2,2.5,4.25
R-131,0.3,0.5,0.3,none,0.0,False,2,1.2875,4.25
R-132,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25.25
R-133,0.75,1.0,0.5,parmesan,1.5,False,,0.5,4.0
R-134,0.5,1.0,0.5,herbs,5.0,True	,2,2.0,4.25
R-135,0.4,0.4,0.4,none,0.0,False,2,1.38,4.25
R-136,0.5,0.5,0.5,none,0.0,False,2,2.0,4.0
R-136,0.5,1.0,0.5,herbs,5.0,1,2,2.0,4.25
R-136,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25
R-136,0.5,0.5,0.5,none,0.0,False,0,2.0,4.25
R-137,0.3,0.5,0.3,none,0.0,False,2.,1.5,4.25
R-138,0.3,0.5,0.3,none,0.0,False,2,1.5,"4,25"
R-139,0.5,0.5,0.5,trace,0.0000001,False,2,2.0375,4.25
R-140,0.5,1.0,0.5,spice,6.0,tRuE,2,2.0,4.25
R-141,0.5,0.5,0.5,none,0.0,False,1e0,4.075,4.25
R-142,0.3,0.5,0.3,none,0.0,False,2,1.5,4.250001
R-143,0.5,0.5,0.5,none,0.0,False,1/3,2.0,4.25
R-144,0.3,0.5,0.3,water,0.0,False,2,1.5,4.25
R-145,0.3,0.5,0.3,none,0.0,False,2,1.5,04.25
R-146,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25
R-146,0.5,0.5,0.5,none,0.0,False,2,2.0,4.25
R-146,0.3,0.5,0.3,none,0.0,False,2,1.5,4.0
R-146,0.5,1.0,0.5,herbs,3.0,True,2,2.0,4.25
R-146,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25
R-146,0.5,0.5,0.5,none,0.0,False,0,2.0,4.25
R-146,0.75,1.0,0.5,parmesan,1.5,False,2,0.5,4.25
R-147,0.6,1.0,0.5,none,0.0,False, 3 ,1.608333,4.25
R-148,0.5,1.0,0.5,truffle,8.0,"
",2,2.0,4.25
R-149,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25 
R-150,0.5,0.5,0.5,sauce,0.5,False,2,2.0375,4.25
R-151,0.4,0.4,0.4,none,0.0,False,-1,1.5,4.25
R-152,0.4,0.4,0.4,none,0.0,False,-0.5,1.5,4.25
R-153,0.4,0.4,0.4,none,0.0,False,-01,1.5,4.25
R-154,0.4,0.4,0.4,none,0.0,False,-2.0,1.5,4.0
R-155,0.4,0.4,0.4,none,0.0,False,nan,1.5,4.25
R-156,0.4,0.4,0.4,none,0.0,False,inf,1.5,4.25
R-157,0.4,0.4,0.4,none,0.0,False,-inf,1.5,4.25
R-158,0.4,0.4,0.4,none,0.0,False,2/2,1.5,4.25
R-159,0.4,0.4,0.4,none,0.0,False,5/2,1.5,4.25
R-160,0.4,0.4,0.4,none,0.0,False,10/5,1.5,4.25
R-161,0.3,0.5,0.3,none,0.0,False,2,1.5,$4.25 
R-162,0.3,0.5,0.3,none,0.0,False,2,1.5,USD4.25
R-163,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25$
R-164,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25usd
R-165,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25e
R-166,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25e0
R-167,0.3,0.5,0.3,none,0.0,False,2,1.5,425e-2
R-168,1.0,0.0,0.0,none,0.0,False,1,4.00,4.25
R-169,2.0,0.0,0.0,none,0.0,False,2,4.00,4.25
R-170,0.5,0.5,0.5,none,0.0,False,2,1.90,4.25
R-171,0.5,0.5,0.5,none,0.0,False,2,1.79,4.25
R-172,0.5,0.5,0.5,none,0.0,False,2,1.80,4.25
R-173,0.2,0.2,0.2,bump,0.11,False,2,1.01,4.25
R-174,0.2,0.2,0.2,bump,0.098,False,2,0.61,4.25
R-175,0.2,0.2,0.2,bump,0.098,False,2,0.62,4.25
R-176,0.5,1.0,0.5,saffron,10.0,true.,2,2.0,4.25
R-177,0.5,1.0,0.5,saffron,10.0,Truee,2,2.0,4.25
R-178,0.5,1.0,0.5,saffron,10.0,TRUE!,2,2.0,4.25
R-179,0.5,1.0,0.5,saffron,10.0, yes,2,2.0,4.25
R-180,0.5,1.0,0.5,saffron,10.0,True,2,2.20,4.25
R-181,1.0,0.0,0.0,none,0.0,False,1,3.50,4.00
R-182,1.0,0.0,0.0,none,0.0,False,-3,3.50,4.00
R-183,1.0,0.0,0.0,none,0.0,False,0,3.50,4.25
R-184,1.0,0.0,0.0,none,0.0,False,1,3.50,4.00
R-184,1.0,0.0,0.0,none,0.0,False,-1,3.50,4.25
R-184,1.0,0.0,0.0,none,0.0,False,1,3.50,4.25
R-184,1.0,0.0,0.0,none,0.0,False,1,4.00,4.25
R-184,1.0,0.0,0.0,none,0.0,False,1,4.00,4.25
R-185,0.3,0.5,0.3,none,0.0,False,2,1.5,4.0
R-185,0.3,0.5,0.3,none,0.0,False,0,1.5,4.25
R-185,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25
R-186,0.5,1.0,0.5,herbs,8.0,1,2,2.0,4.25
R-186,0.5,1.0,0.5,herbs,8.0,True,2,2.0,4.25
R-186,0.5,1.0,0.5,herbs,8.0,yes,2,2.0,4.25
R-187,0.3,0.5,0.3,none,0.0,False,2,1.5,4.249999
R-188,0.3,0.5,0.3,none,0.0,False,2,1.5,4.2500001
R-189,0.3,0.5,0.3,none,0.0,False,2,1.5,4.250
R-190,0.3,0.5,0.3,mystery,,False,2,1.29,4.25
R-191,0.3,0.5,0.3,mystery,n/a,False,2,1.29,4.25
R-192,0.5,0.5,0.5,none,0.0,False, -2 ,2.0,4.25
R-193,0.5,0.5,0.5,none,0.0,False,-0.0,2.0,4.25
R-194,0.5,0.5,0.5,none,0.0,False,+-2,2.0,4.25
R-195,0.5,0.5,0.5,none,0.0,False,1e-0,4.075,4.25
R-196,0.8,0.0,0.0,none,0.0,False,1,3.90,4.25
R-197,0.8,0.0,0.0,none,0.0,False,1,3.15,4.25
R-198,0.5,1.0,0.5,truffle_oil,9.0,True,2,2.0,4.0
R-199,0.5,1.0,0.5,truffle_oil,9.0,True,-1,2.0,4.25
R-200,1.0,0.0,0.0,none,0.0,False,1,4.00,4.25
R-201,1.0,0.0,0.0,none,0.0,False,1,4.01,4.25
r-202,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25
R-202,0.3,0.5,0.3,none,0.0,False,3/4,1.5,4.25
R-203,0.3,0.5,0.3,none,0.0,False,2,1.5,$4.00
R-204,0.5,0.5,0.5,none,0.0,False,2,1.79,4.25
R-205,0.5,0.5,0.5,none,0.0,False,2,1.80,4.25
R-206,0.3,0.5,0.3,none,0.0,False,2,1.5,£4.25
R-207,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25 
R-208,0.3,0.5,0.3,none,0.0,False,2,1.5, 4.25e0 
R-209,2.0,0.0,0.0,none,0.0,False,2e0,4.00,4.25
R-210,2.0,0.0,0.0,none,0.0,False,2e0,4.01,4.25
R-211,0.5,0.5,0.5,oil,0.50,False,2,2.04,4.25
R-212,0.5,0.5,0.5,oil,0.50,True,2,2.04,4.25
R-213,0.4,0.4,0.4,none,0.0,False,-4,1.0,4.25
R-214,0.4,0.4,0.4,none,0.0,False,4/1,1.0,4.25
R-215,0.4,0.4,0.4,none,0.0,False,2,1.0,$4.250
R-216,1.0,1.0,0.0,none,0.0,False,1,4.40,4.25
R-217,1.0,1.0,0.0,none,0.0,False,1,4.66,4.25
R-218,0.5,1.0,0.5,salt,4.0,TRUE ,2,2.20,4.25
R-219,0.5,1.0,0.5,salt,4.0,TRUE!,2,2.20,4.25
R-220,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25
