recipe_id,finding
R-122,none
R-123,PRICE_SHEET_STALE
R-124,none
R-125,none
R-126,none
R-127,PRICE_SHEET_STALE
R-128,PRICE_SHEET_STALE
R-129,COST_CLAIM_INVALID
R-130,none
R-131,none
R-132,PRICE_SHEET_STALE
R-133,SERVING_COUNT_MISSING
R-134,none
R-135,COST_CLAIM_INVALID
R-136,SERVING_COUNT_MISSING
R-137,none
R-138,PRICE_SHEET_STALE
R-139,none
R-140,none
R-141,none
R-142,PRICE_SHEET_STALE
R-143,SERVING_COUNT_MISSING
R-144,none
R-145,none
R-146,COST_CLAIM_INVALID
R-147,none
R-148,COST_CLAIM_INVALID
R-149,none
R-150,COST_CLAIM_INVALID
R-151,SERVING_COUNT_MISSING
R-152,SERVING_COUNT_MISSING
R-153,SERVING_COUNT_MISSING
R-154,SERVING_COUNT_MISSING
R-155,SERVING_COUNT_MISSING
R-156,SERVING_COUNT_MISSING
R-157,SERVING_COUNT_MISSING
R-158,SERVING_COUNT_MISSING
R-159,SERVING_COUNT_MISSING
R-160,SERVING_COUNT_MISSING
R-161,PRICE_SHEET_STALE
R-162,PRICE_SHEET_STALE
R-163,PRICE_SHEET_STALE
R-164,PRICE_SHEET_STALE
R-165,PRICE_SHEET_STALE
R-166,none
R-167,none
R-168,COST_CLAIM_INVALID
R-169,COST_CLAIM_INVALID
R-170,none
R-171,COST_CLAIM_INVALID
R-172,none
R-173,none
R-174,COST_CLAIM_INVALID
R-175,none
R-176,COST_CLAIM_INVALID
R-177,COST_CLAIM_INVALID
R-178,COST_CLAIM_INVALID
R-179,COST_CLAIM_INVALID
R-180,none
R-181,PRICE_SHEET_STALE
R-182,SERVING_COUNT_MISSING
R-183,SERVING_COUNT_MISSING
R-184,COST_CLAIM_INVALID
R-185,none
R-186,COST_CLAIM_INVALID
R-187,PRICE_SHEET_STALE
R-188,PRICE_SHEET_STALE
R-189,none
R-190,none
R-191,none
R-192,SERVING_COUNT_MISSING
R-193,SERVING_COUNT_MISSING
R-194,SERVING_COUNT_MISSING
R-195,none
R-196,none
R-197,COST_CLAIM_INVALID
R-198,PRICE_SHEET_STALE
R-199,SERVING_COUNT_MISSING
R-200,COST_CLAIM_INVALID
R-201,none
R-202,SERVING_COUNT_MISSING
R-203,PRICE_SHEET_STALE
R-204,COST_CLAIM_INVALID
R-205,none
R-206,PRICE_SHEET_STALE
R-207,none
R-208,none
R-209,COST_CLAIM_INVALID
R-210,none
R-211,COST_CLAIM_INVALID
R-212,none
R-213,SERVING_COUNT_MISSING
R-214,SERVING_COUNT_MISSING
R-215,PRICE_SHEET_STALE
R-216,COST_CLAIM_INVALID
R-217,none
R-218,none
R-219,COST_CLAIM_INVALID
R-220,none
