line_id,verdict,record_entry
ST-306,VERIFIED,CL-301
ST-307,VERIFIED,CL-303
ST-308,VERIFIED,CL-303
ST-309,VERIFIED,CL-304
ST-310,VERIFIED,CL-304
ST-311,VERIFIED,CL-305
ST-312,VERIFIED,CL-305
ST-313,VERIFIED,CL-306
ST-314,VERIFIED,CL-306
ST-315,AT_ODDS,CL-301
ST-316,AT_ODDS,CL-301
ST-317,AT_ODDS,CL-301
ST-318,AT_ODDS,CL-302
ST-319,AT_ODDS,CL-302
ST-320,AT_ODDS,CL-303
ST-321,AT_ODDS,CL-303
ST-322,AT_ODDS,CL-304
ST-323,AT_ODDS,CL-304
ST-324,AT_ODDS,CL-305
ST-325,AT_ODDS,CL-305
ST-326,AT_ODDS,CL-306
ST-327,AT_ODDS,CL-306
ST-328,AT_ODDS,CL-306
ST-329,AT_ODDS,CL-307
ST-330,AT_ODDS,CL-307
ST-331,AT_ODDS,CL-309
ST-332,AT_ODDS,CL-309
ST-333,AT_ODDS,OI-205
ST-334,AT_ODDS,OI-205
ST-335,VERIFIED,OI-204
ST-336,VERIFIED,OI-203
ST-337,VERIFIED,OI-202
ST-338,AT_ODDS,CL-308
ST-339,VERIFIED,OI-211
ST-340,VERIFIED,OI-211
ST-341,AT_ODDS,CL-309
ST-342,VERIFIED,CL-309
ST-343,AT_ODDS,OI-205
ST-344,AT_ODDS,OI-205
ST-345,AT_ODDS,OI-204
ST-346,AT_ODDS,OI-204
ST-347,AT_ODDS,OI-203
ST-348,AT_ODDS,OI-203
ST-349,AT_ODDS,CL-307
ST-350,AT_ODDS,CL-307
ST-351,AT_ODDS,CL-308
ST-352,AT_ODDS,CL-308
ST-353,AT_ODDS,OI-202
ST-354,AT_ODDS,OI-202
ST-355,AT_ODDS,OI-211
ST-356,NOT_IN_RECORD,NONE
ST-357,NOT_IN_RECORD,NONE
ST-358,NOT_IN_RECORD,NONE
ST-359,NOT_IN_RECORD,NONE
ST-360,NOT_IN_RECORD,NONE
ST-361,NOT_IN_RECORD,NONE
ST-362,NOT_IN_RECORD,NONE
ST-363,NOT_IN_RECORD,NONE
ST-364,NOT_IN_RECORD,NONE
ST-365,NOT_IN_RECORD,NONE
ST-366,NOT_IN_RECORD,NONE
ST-367,NOT_IN_RECORD,NONE
ST-368,NOT_IN_RECORD,NONE
ST-369,NOT_IN_RECORD,NONE
ST-401,VERIFIED,OI-205
ST-402,VERIFIED,OI-205
ST-403,VERIFIED,OI-204
ST-404,VERIFIED,OI-204
ST-405,AT_ODDS,CL-309
ST-406,AT_ODDS,CL-308
ST-407,AT_ODDS,CL-307
ST-408,AT_ODDS,OI-205
ST-409,AT_ODDS,OI-205
ST-410,AT_ODDS,OI-204
ST-411,AT_ODDS,OI-204
ST-412,AT_ODDS,CL-307
ST-413,AT_ODDS,CL-307
ST-414,AT_ODDS,CL-308
ST-415,AT_ODDS,CL-302
ST-416,AT_ODDS,CL-301
ST-417,AT_ODDS,CL-306
ST-418,AT_ODDS,CL-305
ST-419,AT_ODDS,CL-307
ST-420,AT_ODDS,CL-309
ST-421,NOT_IN_RECORD,NONE
ST-422,NOT_IN_RECORD,NONE
ST-423,NOT_IN_RECORD,NONE
ST-501,VERIFIED,CL-307
ST-502,VERIFIED,CL-307
ST-503,VERIFIED,CL-307
ST-504,AT_ODDS,CL-307
ST-505,AT_ODDS,CL-307
ST-506,AT_ODDS,CL-307
ST-507,VERIFIED,CL-308
ST-508,VERIFIED,CL-308
ST-509,AT_ODDS,CL-308
ST-510,AT_ODDS,CL-308
ST-511,VERIFIED,CL-309
ST-512,VERIFIED,CL-309
ST-513,AT_ODDS,CL-309
ST-514,AT_ODDS,CL-309
ST-515,VERIFIED,CL-301
ST-516,AT_ODDS,CL-301
ST-517,AT_ODDS,CL-301
ST-518,VERIFIED,CL-302
ST-519,AT_ODDS,CL-302
ST-520,VERIFIED,CL-306
ST-521,AT_ODDS,CL-306
ST-522,AT_ODDS,CL-306
ST-523,VERIFIED,CL-305
ST-524,AT_ODDS,CL-305
ST-525,VERIFIED,CL-303
ST-526,AT_ODDS,CL-303
ST-527,VERIFIED,CL-304
ST-528,AT_ODDS,CL-304
ST-529,VERIFIED,OI-203
ST-530,AT_ODDS,OI-203
ST-531,AT_ODDS,OI-203
ST-532,VERIFIED,OI-202
ST-533,AT_ODDS,OI-202
ST-534,AT_ODDS,OI-202
ST-535,VERIFIED,OI-204
ST-536,AT_ODDS,OI-204
ST-537,AT_ODDS,OI-204
ST-538,VERIFIED,OI-205
ST-539,AT_ODDS,OI-205
ST-540,VERIFIED,OI-211
ST-541,AT_ODDS,OI-211
ST-542,AT_ODDS,OI-211
ST-543,AT_ODDS,CL-302
ST-544,AT_ODDS,CL-307
ST-545,AT_ODDS,CL-309
ST-546,AT_ODDS,CL-306
ST-547,AT_ODDS,CL-308
ST-548,NOT_IN_RECORD,NONE
ST-549,NOT_IN_RECORD,NONE
ST-550,NOT_IN_RECORD,NONE
ST-551,NOT_IN_RECORD,NONE
ST-552,NOT_IN_RECORD,NONE
ST-553,NOT_IN_RECORD,NONE
ST-554,NOT_IN_RECORD,NONE
ST-555,NOT_IN_RECORD,NONE
ST-556,NOT_IN_RECORD,NONE
ST-557,NOT_IN_RECORD,NONE
ST-558,VERIFIED,CL-307
ST-559,VERIFIED,CL-309
ST-560,VERIFIED,CL-308
