result_id,tier,clock_start,notification_minutes,acknowledgement_minutes,acknowledged_by_role,escalation_status,findings
R-155,2,2026-06-26T08:00,30,120,consultant,not_required,compliant
R-156,2,2026-06-26T08:00,30,120,consultant,not_required,compliant
R-157,2,2026-06-26T08:01,30,120,consultant,not_required,compliant
R-158,2,2026-06-26T17:58,30,120,consultant,not_required,compliant
R-159,2,2026-06-26T17:59,30,120,consultant,not_required,compliant
R-160,2,2026-06-27T08:00,30,120,consultant,not_required,compliant
R-161,2,2026-06-27T08:00,30,120,consultant,not_required,compliant
R-162,1,2026-06-26T10:00,15,,,recorded,acknowledgement_late
R-163,2,2026-06-26T11:00,100,,,missing,acknowledgement_late;escalation_missing
R-164,1,2026-06-26T12:00,15,,,missing,acknowledgement_late;escalation_missing
R-165,2,2026-06-26T13:00,100,,,recorded,acknowledgement_late
R-166,1,2026-06-26T14:00,15,,,missing,acknowledgement_late;escalation_missing
R-167,2,2026-06-26T15:00,100,,,missing,acknowledgement_late;escalation_missing
R-168,1,2026-06-26T16:00,15,,,recorded,acknowledgement_late
R-169,2,2026-06-26T17:00,100,,,missing,acknowledgement_late;escalation_missing
R-170,1,2026-06-26T18:00,15,,,missing,acknowledgement_late;escalation_missing
R-171,2,2026-06-27T08:00,-680,,,recorded,acknowledgement_late
R-172,1,2026-06-26T10:00,15,45,consultant,not_required,compliant
R-173,1,2026-06-27T10:00,15,45,consultant,not_required,compliant
R-174,1,2026-06-28T10:00,15,45,consultant,not_required,compliant
R-175,1,2026-06-29T10:00,15,45,consultant,not_required,compliant
R-176,1,2026-06-30T10:00,15,45,consultant,not_required,compliant
R-177,1,2026-06-30T10:00,15,45,consultant,not_required,compliant
R-178,1,2026-06-30T10:00,15,45,consultant,not_required,compliant
R-179,1,2026-06-30T10:00,15,45,consultant,not_required,compliant
R-180,1,2026-06-30T10:00,15,45,consultant,not_required,compliant
R-181,1,2026-06-30T10:00,15,45,consultant,not_required,compliant
R-182,1,2026-06-30T10:00,15,45,consultant,not_required,compliant
R-183,1,2026-06-30T10:00,15,45,consultant,not_required,compliant
R-184,1,2026-06-30T10:00,15,45,consultant,not_required,compliant
R-185,1,2026-06-30T10:00,15,45,consultant,not_required,compliant
R-186,1,2026-06-30T10:00,15,45,consultant,not_required,compliant
R-187,1,2026-06-30T10:00,15,45,consultant,not_required,compliant
R-188,1,2026-06-30T10:00,15,45,consultant,not_required,compliant
R-189,1,2026-06-30T10:00,15,45,consultant,not_required,compliant
R-190,1,2026-06-30T10:00,15,45,consultant,not_required,compliant
R-191,1,2026-06-30T10:00,15,45,consultant,not_required,compliant
R-192,2,2026-06-26T08:00,241,300,consultant,not_required,notification_late
R-193,2,2026-06-26T08:00,246,310,consultant,not_required,notification_late
R-194,2,2026-06-26T08:00,251,320,consultant,not_required,notification_late
R-195,2,2026-06-26T08:00,256,330,consultant,not_required,notification_late
R-196,2,2026-06-26T08:00,261,340,consultant,not_required,notification_late
R-197,2,2026-06-26T08:00,266,350,consultant,not_required,notification_late
R-198,2,2026-06-26T08:00,271,360,consultant,not_required,notification_late
R-199,2,2026-06-26T08:00,276,370,consultant,not_required,notification_late
R-200,2,2026-06-26T08:00,281,380,consultant,not_required,notification_late
R-201,2,2026-06-26T08:00,286,390,consultant,not_required,notification_late
R-202,1,2026-06-26T10:00,15,61,consultant,recorded,acknowledgement_late
R-203,1,2026-06-27T11:00,15,64,consultant,missing,acknowledgement_late;escalation_missing
R-204,1,2026-06-28T12:00,15,67,consultant,recorded,acknowledgement_late
R-205,1,2026-06-29T13:00,15,70,consultant,missing,acknowledgement_late;escalation_missing
R-206,1,2026-06-30T14:00,15,73,consultant,recorded,acknowledgement_late
R-207,1,2026-06-30T15:00,15,76,consultant,missing,acknowledgement_late;escalation_missing
R-208,1,2026-06-30T16:00,15,79,consultant,recorded,acknowledgement_late
R-209,1,2026-06-30T17:00,15,82,consultant,missing,acknowledgement_late;escalation_missing
R-210,1,2026-06-30T18:00,15,85,consultant,recorded,acknowledgement_late
R-211,1,2026-06-30T19:00,15,88,consultant,missing,acknowledgement_late;escalation_missing
R-212,1,2026-06-26T10:00,35,,ward_clerk,recorded,acknowledgement_late;acknowledger_unapproved;notification_late
R-213,1,2026-06-26T10:00,35,,nurse_hca,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing;notification_late
R-214,1,2026-06-26T10:00,20,,phlebotomist,recorded,acknowledgement_late;acknowledger_unapproved
R-215,2,2026-06-26T10:00,245,,ward_clerk,recorded,acknowledgement_late;acknowledger_unapproved;notification_late
R-216,2,2026-06-26T10:00,20,,nurse_hca,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-217,2,2026-06-26T10:00,245,,phlebotomist,recorded,acknowledgement_late;acknowledger_unapproved;notification_late
R-218,1,2026-06-26T10:00,35,,healthcare_assistant,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing;notification_late
R-219,1,2026-06-26T10:00,20,,pharmacist,recorded,acknowledgement_late;acknowledger_unapproved
R-220,2,2026-06-26T10:00,245,,student_nurse,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing;notification_late
R-221,2,2026-06-26T10:00,20,,lab_technician,recorded,acknowledgement_late;acknowledger_unapproved
R-222,1,2026-06-26T10:00,30,40,consultant,not_required,compliant
R-223,1,2026-06-26T10:00,30,40,consultant,not_required,compliant
R-224,1,2026-06-26T10:00,30,40,consultant,not_required,compliant
R-225,2,2026-06-26T08:00,240,300,consultant,not_required,compliant
R-226,2,2026-06-26T08:00,240,300,consultant,not_required,compliant
R-227,2,2026-06-26T08:00,240,300,consultant,not_required,compliant
R-228,1,2026-06-26T10:00,15,60,consultant,not_required,compliant
R-229,1,2026-06-26T10:00,15,60,consultant,not_required,compliant
R-230,1,2026-06-26T10:00,15,60,consultant,not_required,compliant
R-231,2,2026-06-26T08:00,100,480,consultant,not_required,compliant
R-232,2,2026-06-26T08:00,100,480,consultant,not_required,compliant
R-233,2,2026-06-26T08:00,100,480,consultant,not_required,compliant
R-234,2,2026-06-26T08:00,100,,ward_clerk,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-235,2,2026-06-26T08:00,100,,ward_clerk,recorded,acknowledgement_late;acknowledger_unapproved
R-236,2,2026-06-26T08:00,100,,nurse_hca,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-237,2,2026-06-26T08:00,100,,nurse_hca,recorded,acknowledgement_late;acknowledger_unapproved
R-238,2,2026-06-26T08:00,100,,phlebotomist,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-239,2,2026-06-26T08:00,100,,phlebotomist,recorded,acknowledgement_late;acknowledger_unapproved
R-240,2,2026-06-26T08:00,100,,healthcare_assistant,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-241,2,2026-06-26T08:00,100,,healthcare_assistant,recorded,acknowledgement_late;acknowledger_unapproved
R-242,2,2026-06-26T08:00,100,,pharmacist,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-243,2,2026-06-26T08:00,100,,pharmacist,recorded,acknowledgement_late;acknowledger_unapproved
R-244,1,2026-06-26T10:00,20,50,consultant,not_required,compliant
R-245,2,2026-06-26T08:00,100,300,consultant,not_required,compliant
R-246,1,2026-06-26T11:00,20,50,specialty_registrar,not_required,compliant
R-247,2,2026-06-26T08:00,100,300,specialty_registrar,not_required,compliant
R-248,1,2026-06-26T12:00,20,50,resident_doctor,not_required,compliant
R-249,2,2026-06-26T08:00,100,300,resident_doctor,not_required,compliant
R-250,1,2026-06-26T13:00,20,50,advanced_nurse_practitioner,not_required,compliant
R-251,2,2026-06-26T08:00,100,300,advanced_nurse_practitioner,not_required,compliant
R-252,2,2026-06-26T17:00,100,480,consultant,not_required,compliant
R-253,2,2026-06-27T08:00,100,540,consultant,missing,acknowledgement_late;escalation_missing
R-254,2,2026-06-26T17:00,100,600,consultant,recorded,acknowledgement_late
R-255,2,2026-06-27T08:00,100,660,consultant,missing,acknowledgement_late;escalation_missing
R-256,2,2026-06-26T17:00,100,720,consultant,recorded,acknowledgement_late
R-257,1,2026-06-26T00:30,30,60,specialty_registrar,not_required,compliant
R-258,1,2026-06-27T18:45,25,55,consultant,not_required,compliant
R-259,1,2026-06-28T17:15,80,70,specialty_registrar,recorded,acknowledgement_late;notification_late
R-260,1,2026-06-29T05:45,31,61,specialty_registrar,missing,acknowledgement_late;escalation_missing;notification_late
R-261,1,2026-06-30T02:45,25,61,resident_doctor,missing,acknowledgement_late;escalation_missing
R-262,2,2026-06-26T17:00,250,,ward_clerk,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing;notification_late
R-263,2,2026-06-28T08:00,235,,phlebotomist,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-264,2,2026-06-28T08:00,235,490,resident_doctor,missing,acknowledgement_late;escalation_missing
R-265,1,2026-06-29T11:30,30,,phlebotomist,recorded,acknowledgement_late;acknowledger_unapproved
R-266,1,2026-06-30T17:15,30,70,advanced_nurse_practitioner,missing,acknowledgement_late;escalation_missing
R-267,1,2026-06-26T21:30,25,60,consultant,not_required,compliant
R-268,2,2026-06-27T08:00,240,,phlebotomist,recorded,acknowledgement_late;acknowledger_unapproved
R-269,2,2026-06-29T08:00,240,481,specialty_registrar,recorded,acknowledgement_late
R-270,2,2026-06-30T08:00,250,530,advanced_nurse_practitioner,missing,acknowledgement_late;escalation_missing;notification_late
R-271,1,2026-06-30T16:45,25,55,consultant,not_required,compliant
R-272,1,2026-06-26T21:45,80,55,advanced_nurse_practitioner,not_required,notification_late
R-273,2,2026-06-27T16:30,290,,phlebotomist,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing;notification_late
R-274,2,2026-06-29T08:00,235,481,advanced_nurse_practitioner,recorded,acknowledgement_late
R-275,2,2026-06-29T16:15,290,,phlebotomist,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing;notification_late
R-276,1,2026-06-30T04:30,30,,ward_clerk,recorded,acknowledgement_late;acknowledger_unapproved
R-277,2,2026-06-26T08:00,241,,,missing,acknowledgement_late;escalation_missing;notification_late
R-278,1,2026-06-27T02:45,25,110,specialty_registrar,recorded,acknowledgement_late
R-279,1,2026-06-28T08:59,80,70,specialty_registrar,missing,acknowledgement_late;escalation_missing;notification_late
R-280,1,2026-06-29T22:30,40,61,advanced_nurse_practitioner,recorded,acknowledgement_late;notification_late
R-281,1,2026-06-30T07:00,31,,ward_clerk,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing;notification_late
R-282,1,2026-06-26T00:00,25,60,consultant,not_required,compliant
R-283,2,2026-06-27T08:00,240,,phlebotomist,recorded,acknowledgement_late;acknowledger_unapproved
R-284,2,2026-06-28T08:00,250,,,recorded,acknowledgement_late;notification_late
R-285,2,2026-06-29T13:45,235,475,consultant,not_required,compliant
R-286,2,2026-06-30T08:00,240,,ward_clerk,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
