ledger_ref,channel_id,campaign_week,placement_id,delivered_reach,delivered_streams
LG-1303,CH-13,W4,PL-13003,20030,1500
LG-1401,CH-14,W1,PL-14001,30000,1300
LG-1402,CH-14,W1,PL-14001,10000,500
LG-1403,CH-14,W1,PL-14002,10000,400
LG-1404,CH-14,W2,PL-14003,10000,400
LG-1501,CH-15,W1,PL-15001,50000,1800
LG-1502,CH-15,W2,PL-15002,48000,1700
LG-1503,CH-15,W4,PL-15003,52000,1900
LG-1504,CH-15,,PL-15001,30000,1200
LG-1601,CH-16,W1,PL-16001,70000,3500
LG-1602,CH-16,W2,PL-16002,65000,3200
LG-1603,CH-16,W4,PL-16003,60000,2800
LG-1604,CH-16,W1,,10000,500
LG-1701,CH-17,W1,PL-17001,45000,1700
LG-1702,CH-17,W2,PL-17002,40000,1500
LG-1703,CH-17,W4,PL-1001,20000,800
LG-18001,CH-18,W1,PL-18001,55000,2700
LG-18002,CH-18,W4,PL-18002,58000,2900
LG-19001,CH-19,W1,PL-19001,35000,1500
LG-19002,CH-19,W2,PL-19002,38000,1600
LG-20001,CH-20,W1,PL-20001,45000,1800
LG-20002,CH-20,W2,PL-20002,40000,-3500
LG-20003,CH-20,W1,PL-19001,30000,1200
LG-21001,CH-21,W1,PL-21001,0,0
LG-21002,CH-21,W2,PL-21002,0,0
LG-21003,CH-21,W2,,10000,400
LG-22001,CH-22,W1,PL-22001,40000,1600
LG-22002,CH-22,W6,PL-22002,35000,1400
LG-22003,CH-22,W2,,5000,100
LG-23001,CH-23,W1,PL-23001,50000,2000
LG-23002,CH-23,W1,PL-23001,0,-500
LG-23003,CH-23,W2,PL-23002,45000,1800
LG-24001,CH-24,W1,PL-24001,25000,1000
LG-24002,CH-24,W1,PL-24002,28000,1100
LG-24003,CH-24,W2,PL-24003,30000,1200
LG-25001,CH-25,W1,PL-25001,40000,1600
LG-25002,CH-25,W2,PL-25002,38000,1500
LG-25003,CH-25,W4,PL-5009,20000,3000
LG-26001,CH-26,W1,PL-26001,35000,1500
LG-26002,CH-26,W2,PL-26002,32000,1400
LG-27001,CH-27,W1,PL-27001,35000,1700
LG-27002,CH-27,W2,PL-27002,35003,1750
LG-28001,CH-28,W1,PL-28001,30000,1200
LG-28002,CH-28,W2,PL-28002,25000,1000
LG-28003,CH-28,W4,,10000,200
LG-29001,CH-29,W1,,40000,1600
LG-29002,CH-29,W2,,35000,1400
LG-31001,CH-31,W1,PL-31001,25000,1200.5
LG-31002,CH-31,W2,PL-31002,25000,1700.5
LG-32001,CH-32,W1,PL-32001,20000.5,800
LG-32002,CH-32,W2,PL-32002,20000.5,800
LG-33001,CH-33,W1,PL-33001,40000,1600
LG-33002,CH-33,W2,PL-33002,40000,1600
LG-34001,CH-34,W1,PL-34001,50000,2000
LG-34002,CH-34,W7,PL-34002,50000,2200
LG-35001,CH-35,W1,PL-35001,35000,1400
LG-35002,CH-35,W3,PL-35002,35000,1500
LG-35003,CH-35,W2,,10000,400
LG-36001,CH-36,W1,PL-36001,1000,1
LG-36002,CH-36,W2,,500,1
LG-37001,CH-37,W1,PL-37001,45000,1800
LG-37002,CH-37,W2,PL-37002,40000,-600.5
LG-38001,CH-38,W1,PL-38001,50000,2000
LG-38002,CH-38,W2,PL-38002,40000,0.5
LG-39001,CH-39,W1,PL-39001,500,499
LG-39002,CH-39,W2,PL-39002,499,500
LG-41001,CH-41,W1,PL-41001,500,0
LG-42001,CH-42,W1,PL-42001,40000,0
LG-42002,CH-42,W2,PL-42002,40000,1600
LG-43001,CH-43,W1,PL-43001,35000,1400
LG-43002,CH-43,W2,PL-43002,35000,1400
LG-44001,CH-44,W1,PL-44001,20000,800
LG-44001,CH-44,W2,PL-44002,20000,800
LG-45001,CH-45,W1,PL-45001,45000,1800
LG-45002,CH-45,W2,PL-45002,40000,1600
LG-45003,CH-45,W1,,10000,400
LG-FIX-CH-33,CH-33,W5,,8000,300
LG-FIX-CH-39,CH-39,W5,,8000,300
LG-FIX-CH-42,CH-42,W5,,8000,300
L80001,CH-76,W1,PL-80001,50000,1800
L80002,CH-76,W4,PL-80002,40000,1300
L80003,CH-77,W1,PL-80003,50000,1800
L80004,CH-77,W4,PL-80004,40000,1300
L80005,CH-78,W1,PL-80005,50000,1800
L80006,CH-78,W5,PL-80006,45000,1300
L80007,CH-79,W1,PL-80007,50000,1800
L80008,CH-79,W4,PL-80008,45000,1300
L80009,CH-79,W5,PL-80009,40000,800
L80010,CH-80,W1,PL-80010,50000,1800
L80011,CH-80,W4,PL-80011,40000,1300
