placement_id,channel_id,planned_week,ran_week,placement_status,offer_type
PL-14003,CH-14,W2,W2,ran,playlist_seed
PL-15001,CH-15,W1,W1,ran,street_team
PL-15002,CH-15,W2,W2,ran,street_team
PL-16001,CH-16,W1,W1,ran,guaranteed_streams
PL-16002,CH-16,W2,W2,ran,guaranteed_streams
PL-16003,CH-16,W4,W4,ran,guaranteed_streams
PL-17001,CH-17,W1,W1,ran,cross_test
PL-17002,CH-17,W2,W2,ran,cross_test
PL-18001,CH-18,W1,W1,ran,week_test
PL-18002,CH-18,W2,W2,ran,week_test
PL-19001,CH-19,W1,W1,ran,dup_test
PL-19002,CH-19,W2,W2,ran,dup_test
PL-20001,CH-20,W1,W1,ran,neg_test
PL-20002,CH-20,W2,W2,ran,neg_test
PL-19001,CH-20,W1,W1,ran,dup_test
PL-21001,CH-21,W1,W1,ran,zero_test
PL-21002,CH-21,W2,W2,ran,zero_test
PL-22001,CH-22,W1,W1,ran,w6_test
PL-22002,CH-22,W2,W2,ran,w6_test
PL-23001,CH-23,W1,W1,ran,flip_test
PL-23002,CH-23,W2,W2,ran,flip_test
PL-24001,CH-24,W1,W1,ran,over_test
PL-24002,CH-24,W1,W1,ran,over_test
PL-24003,CH-24,W2,W2,ran,over_test
PL-25001,CH-25,W1,W1,ran,gphantom_test
PL-25002,CH-25,W2,W2,ran,gphantom_test
PL-26001,CH-26,W1,W1,ran,blank_test
PL-26002,CH-26,W2,,ran,blank_test
PL-27001,CH-27,W1,W1,ran,float_test
PL-27002,CH-27,W2,W2,ran,float_test
PL-28001,CH-28,W1,W1,ran,zreach_test
PL-28002,CH-28,W2,W2,ran,zreach_test
PL-29001,CH-29,W1,W1,ran,allorg_test
PL-29002,CH-29,W2,,cancelled,allorg_test
PL-31001,CH-31,W1,W1,ran,frac_test
PL-31002,CH-31,W2,W2,ran,frac_test
PL-32001,CH-32,W1,W1,ran,fracr_test
PL-32002,CH-32,W2,W2,ran,fracr_test
PL-33001,CH-33,W1,W1,completed,comp_test
PL-33002,CH-33,W2,W2,ran,comp_test
PL-34001,CH-34,W1,W1,ran,w7_test
PL-34002,CH-34,W2,W2,ran,w7_test
PL-35001,CH-35,W1,W1,ran,w3_test
PL-35002,CH-35,W2,W2,ran,w3_test
PL-36001,CH-36,W1,W1,ran,half_test
PL-37001,CH-37,W1,W1,ran,negfrac_test
PL-37002,CH-37,W2,W2,ran,negfrac_test
PL-38001,CH-38,W1,W1,ran,tiny_test
PL-38002,CH-38,W2,W2,ran,tiny_test
PL-39001,CH-39,W1,W1,ran,tiny2_test
PL-39002,CH-39,W2,W2,ran,tiny2_test
PL-41001,CH-41,W1,W1,ran,bothhalf_test
PL-42001,CH-42,W1,W1,ran,reachnos_test
PL-42002,CH-42,W2,W2,ran,reachnos_test
PL-43001,CH-43,W1,W1,ran,
PL-43002,CH-43,W2,W2,ran,empty_test
PL-44001,CH-44,W1,W1,ran,dupref_test
PL-44002,CH-44,W2,W2,ran,dupref_test
PL-45001,CH-45,W1,W1,ran,guaranteed_streams
PL-45002,CH-45,W2,W2,ran,guaranteed_streams
