table_name,suggested_finding,note
T-45,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-46,none,health-dashboard heuristic — not authoritative
T-47,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-48,none,health-dashboard heuristic — not authoritative
T-49,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-50,none,health-dashboard heuristic — not authoritative
T-51,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-52,none,health-dashboard heuristic — not authoritative
T-53,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-54,none,health-dashboard heuristic — not authoritative
T-55,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-56,none,health-dashboard heuristic — not authoritative
T-57,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-58,none,health-dashboard heuristic — not authoritative
T-59,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-60,none,health-dashboard heuristic — not authoritative
T-61,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-62,none,health-dashboard heuristic — not authoritative
T-63,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-64,none,health-dashboard heuristic — not authoritative
T-65,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-66,none,health-dashboard heuristic — not authoritative
T-67,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-68,none,health-dashboard heuristic — not authoritative
T-69,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-70,none,health-dashboard heuristic — not authoritative
T-71,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-72,none,health-dashboard heuristic — not authoritative
T-73,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-74,none,health-dashboard heuristic — not authoritative
T-75,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-76,none,health-dashboard heuristic — not authoritative
T-77,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-78,none,health-dashboard heuristic — not authoritative
T-79,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-80,none,health-dashboard heuristic — not authoritative
T-81,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-82,none,health-dashboard heuristic — not authoritative
T-83,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-84,none,health-dashboard heuristic — not authoritative
T-85,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-86,none,health-dashboard heuristic — not authoritative
T-87,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-88,none,health-dashboard heuristic — not authoritative
T-89,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-90,none,health-dashboard heuristic — not authoritative
T-91,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-92,none,health-dashboard heuristic — not authoritative
T-93,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-94,none,health-dashboard heuristic — not authoritative
T-95,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-96,none,health-dashboard heuristic — not authoritative
T-97,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-98,none,health-dashboard heuristic — not authoritative
T-99,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-100,none,health-dashboard heuristic — not authoritative
T-101,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-102,none,health-dashboard heuristic — not authoritative
T-103,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-104,none,health-dashboard heuristic — not authoritative
T-105,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-106,none,health-dashboard heuristic — not authoritative
T-107,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-108,none,health-dashboard heuristic — not authoritative
T-109,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-110,none,health-dashboard heuristic — not authoritative
T-111,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-112,none,health-dashboard heuristic — not authoritative
T-113,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-114,none,health-dashboard heuristic — not authoritative
T-115,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-116,none,health-dashboard heuristic — not authoritative
T-117,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-118,none,health-dashboard heuristic — not authoritative
T-119,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-120,none,health-dashboard heuristic — not authoritative
T-121,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-122,none,health-dashboard heuristic — not authoritative
T-123,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-124,none,health-dashboard heuristic — not authoritative
T-125,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-126,none,health-dashboard heuristic — not authoritative
T-127,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-128,none,health-dashboard heuristic — not authoritative
T-129,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-130,none,health-dashboard heuristic — not authoritative
