script_id,clearance_status
SC-284,CLEARED
SC-285,CLEARED
SC-286,CLEARED
SC-287,CLEARED
SC-288,CLEARED
SC-289,CLEARED
SC-290,CLEARED
SC-291,CLEARED
SC-292,CLEARED
SC-293,CLEARED
SC-294,CLEARED
SC-295,CLEARED
SC-296,CLEARED
SC-297,CLEARED
SC-298,CLEARED
SC-299,CLEARED
SC-300,CLEARED
SC-301,CLEARED
SC-302,CLEARED
SC-303,CLEARED
SC-304,CLEARED
SC-305,CLEARED
SC-306,CLEARED
SC-307,CLEARED
SC-308,CLEARED
SC-309,CLEARED
SC-310,CLEARED
SC-311,CLEARED
SC-312,CLEARED
SC-313,CLEARED
SC-314,CLEARED
SC-315,CLEARED
SC-316,CLEARED
SC-317,CLEARED
SC-318,CLEARED
SC-319,CLEARED
SC-320,CLEARED
SC-321,CLEARED
SC-322,CLEARED
SC-323,CLEARED
SC-324,CLEARED
SC-325,CLEARED
SC-326,CLEARED
SC-327,CLEARED
SC-328,CLEARED
SC-329,CLEARED
SC-330,CLEARED
SC-331,CLEARED
SC-331,CLEARED
SC-332,CLEARED
SC-333,CLEARED
SC-334,CLEARED
SC-335,CLEARED
SC-336,CLEARED
SC-337,CLEARED
SC-338,CLEARED
SC-339,CLEARED
SC-340,CLEARED
SC-341,CLEARED
SC-342,CLEARED
SC-343,CLEARED
SC-344,CLEARED
SC-345,CLEARED
SC-346,CLEARED
SC-347,CLEARED
SC-348,CLEARED
SC-349,CLEARED
SC-350,CLEARED
SC-351,CLEARED
SC-352,CLEARED
SC-353,CLEARED
SC-354,CLEARED
SC-355,CLEARED
SC-356,CLEARED
SC-357,CLEARED
SC-358,CLEARED
SC-359,CLEARED
SC-360,CLEARED
SC-361,CLEARED
SC-362,CLEARED
SC-363,CLEARED
SC-364,CLEARED
SC-365,CLEARED
SC-366,CLEARED
SC-367,CLEARED
SC-368,CLEARED
SC-369,CLEARED
SC-371,CLEARED
SC-372,CLEARED
SC-373,CLEARED
SC-374,CLEARED
SC-375,CLEARED
SC-376,CLEARED
SC-377,CLEARED
SC-378,CLEARED
SC-379,CLEARED
SC-380,CLEARED
SC-381,CLEARED
SC-382,CLEARED
SC-383,CLEARED
SC-384,CLEARED
SC-385,CLEARED
SC-386,CLEARED
SC-387,CLEARED
SC-388,CLEARED
SC-389,CLEARED
SC-390,CLEARED
SC-391,HOLD
SC-392,hold
SC-393,Hold
SC-394,HOLD 
SC-395, HOLD
SC-396,HoLd
SC-397,CLEARED
SC-398,cleared
SC-399,Cleared
SC-400,PENDING
SC-401,CLEARED
SC-402,CLEARED
SC-403,HOLD
SC-404,CLEARED
SC-405,CLEARED
SC-406,CLEARED
SC-407,CLEARED
SC-408,CLEARED
SC-409,HOLD
SC-410,CLEARED
SC-411,CLEARED
SC-412,CLEARED
SC-413,CLEARED
SC-414,CLEARED
SC-415,CLEARED
SC-416,CLEARED
SC-417,CLEARED
SC-418,CLEARED
SC-419,CLEARED
SC-420,HOLD
SC-421,CLEARED
SC-422,CLEARED
SC-423,CLEARED
SC-424,CLEARED
SC-425,CLEARED
SC-426,CLEARED
SC-427,CLEARED
SC-428,CLEARED
SC-429,CLEARED
SC-430,CLEARED
SC-431,CLEARED
SC-432,CLEARED
SC-433,CLEARED
SC-434,CLEARED
SC-435,CLEARED
SC-436,CLEARED
SC-437,CLEARED
SC-438,CLEARED
SC-439,CLEARED
SC-440,CLEARED
SC-441,CLEARED
SC-442,CLEARED
SC-443,CLEARED
SC-444,CLEARED
SC-445,CLEARED
SC-446,CLEARED
SC-447,CLEARED
SC-448,CLEARED
SC-449,CLEARED
SC-450,CLEARED
SC-451,CLEARED
SC-452,CLEARED
SC-453,CLEARED
SC-454,CLEARED
SC-455,CLEARED
SC-456,CLEARED
SC-457,CLEARED
SC-458,CLEARED
SC-459,CLEARED
SC-460,CLEARED
SC-461,CLEARED
SC-462,CLEARED
SC-463,CLEARED
SC-464,CLEARED
SC-465,CLEARED
SC-466,CLEARED
SC-467,CLEARED
SC-468,CLEARED
SC-469,CLEARED
SC-470,CLEARED
SC-471,CLEARED
SC-472,CLEARED
SC-473,CLEARED
SC-474,CLEARED
SC-475,CLEARED
SC-476,CLEARED
SC-477,CLEARED
SC-478,CLEARED
SC-479,CLEARED
SC-480,CLEARED
SC-481,CLEARED
SC-482,CLEARED
SC-483,CLEARED
SC-484,CLEARED
SC-485,CLEARED
SC-486,CLEARED
SC-487,CLEARED
SC-488,CLEARED
SC-489,CLEARED
SC-490,CLEARED
SC-491,CLEARED
SC-492,CLEARED
SC-493,CLEARED
SC-494,CLEARED
SC-495,CLEARED
SC-496,CLEARED
SC-497,CLEARED
SC-498,CLEARED
SC-499,CLEARED
SC-500,CLEARED
SC-501,CLEARED
SC-502,CLEARED
SC-503,CLEARED
SC-504,CLEARED
SC-505,CLEARED
SC-506,CLEARED
SC-507,CLEARED
SC-508,CLEARED
SC-509,CLEARED
SC-510,CLEARED
SC-511,CLEARED
SC-512,CLEARED
SC-513,CLEARED
SC-514,CLEARED
SC-515,CLEARED
SC-516,CLEARED
SC-517,CLEARED
SC-518,CLEARED
SC-519,CLEARED
SC-520,CLEARED
SC-521,CLEARED
SC-522,CLEARED
SC-523,CLEARED
SC-524,CLEARED
SC-525,CLEARED
SC-526,CLEARED
SC-527,CLEARED
SC-528,CLEARED
SC-529,CLEARED
SC-530,CLEARED
SC-531,CLEARED
SC-532,CLEARED
SC-533,CLEARED
SC-534,CLEARED
SC-535,CLEARED
SC-536,CLEARED
SC-537,CLEARED
SC-538,CLEARED
SC-539,CLEARED
SC-540,CLEARED
SC-541,CLEARED
SC-542,CLEARED
SC-543,CLEARED
SC-544,CLEARED
SC-545,CLEARED
SC-546,CLEARED
SC-547,CLEARED
SC-548,CLEARED
SC-549,CLEARED
SC-550,CLEARED
SC-551,CLEARED
SC-552,CLEARED
SC-553,CLEARED
SC-554,CLEARED
SC-555,CLEARED
SC-556,CLEARED
SC-557,CLEARED
SC-558,CLEARED
SC-559,CLEARED
SC-560,CLEARED
SC-561,CLEARED
SC-562,CLEARED
SC-563,CLEARED
SC-564,CLEARED
SC-565,CLEARED
SC-566,CLEARED
SC-567,CLEARED
SC-568,CLEARED
SC-569,CLEARED
SC-570,CLEARED
SC-571,CLEARED
SC-572,CLEARED
SC-573,CLEARED
SC-574,CLEARED
SC-575,CLEARED
SC-576,CLEARED
SC-577,CLEARED
SC-578,CLEARED
SC-579,CLEARED
SC-580,CLEARED
SC-581,CLEARED
SC-582,CLEARED
SC-583,CLEARED
SC-584,CLEARED
SC-585,CLEARED
SC-586,CLEARED
SC-587,CLEARED
SC-588,CLEARED
SC-589,CLEARED
SC-590,CLEARED
SC-591,CLEARED
SC-592,CLEARED
SC-593,CLEARED
SC-594,CLEARED
SC-595,CLEARED
SC-596,CLEARED
SC-597,CLEARED
SC-598,CLEARED
SC-599,CLEARED
SC-600,CLEARED
SC-601,CLEARED
SC-602,CLEARED
SC-603,CLEARED
SC-604,CLEARED
SC-605,CLEARED
SC-606,CLEARED
SC-607,CLEARED
SC-608,CLEARED
SC-609,CLEARED
SC-610,CLEARED
SC-611,CLEARED
SC-612,CLEARED
SC-613,CLEARED
SC-614,CLEARED
SC-615,CLEARED
SC-616,CLEARED
SC-617,CLEARED
SC-618,CLEARED
SC-619,CLEARED
SC-620,CLEARED
SC-621,CLEARED
SC-622,CLEARED
SC-623,CLEARED
SC-624,CLEARED
SC-625,CLEARED
SC-626,CLEARED
SC-627,CLEARED
SC-628,CLEARED
SC-629,CLEARED
SC-630,CLEARED
SC-631,CLEARED
SC-632,CLEARED
SC-633,CLEARED
SC-634,CLEARED
SC-635,CLEARED
SC-636,CLEARED
SC-637,CLEARED
SC-638,CLEARED
SC-639,CLEARED
SC-640,CLEARED
SC-641,CLEARED
SC-642,CLEARED
SC-643,CLEARED
SC-644,CLEARED
SC-645,CLEARED
SC-646,CLEARED
SC-647,CLEARED
SC-648,CLEARED
SC-649,CLEARED
SC-650,CLEARED
SC-651,CLEARED
SC-652,CLEARED
SC-653,HOLD
SC-654,hold
SC-655,Hold
SC-656,HOLD 
SC-657, HOLD
SC-658, hold 
SC-659,HoLd
SC-660,"HOLD
"
SC-661,"HOLD
"
SC-662,HOLD	
SC-663,CLEARED
SC-664,cleared
SC-665,Cleared
SC-666,CLEARED 
SC-667, CLEARED
SC-668, cleared 
SC-669,ClEaReD
SC-670,"CLEARED
"
SC-671,"CLEARED
"
SC-672,CLEARED	
SC-673,PENDING
SC-674,pending
SC-675,Pending
SC-676,REVIEW
SC-677,review
SC-678,DRAFT
SC-679,draft
SC-680,BLOCKED
SC-681,blocked
SC-682,REJECTED
SC-683,rejected
SC-684,APPROVED
SC-685,approved
SC-686,SIGNED
SC-687,signed
SC-688,WAITING
SC-689,waiting
SC-690,IN_PROGRESS
SC-691,in_progress
SC-692,ON_HOLD
SC-693,on_hold
SC-694,COMPLETE
SC-695,complete
SC-696,DONE
SC-697,done
SC-698,FINISHED
SC-699,finished
SC-700,YES
SC-701,NO
SC-702,TRUE
SC-704, 
SC-705,none
SC-706,null
SC-707,CLEARED
SC-708,CLEARED
SC-709,CLEARED
SC-710,CLEARED
SC-711,CLEARED
SC-712,CLEARED
SC-713,CLEARED
SC-714,CLEARED
SC-715,CLEARED
SC-716,CLEARED
SC-717,CLEARED
SC-718,CLEARED
SC-719,CLEARED
SC-720,CLEARED
SC-721,CLEARED
SC-722,CLEARED
SC-723,CLEARED
SC-724,CLEARED
SC-725,CLEARED
SC-726,CLEARED
SC-727,CLEARED
SC-728,CLEARED
SC-729,CLEARED
SC-730,CLEARED
SC-731,CLEARED
SC-732,CLEARED
SC-733,CLEARED
SC-734,CLEARED
SC-735,CLEARED
SC-736,CLEARED
SC-737,CLEARED
SC-738,CLEARED
SC-739,CLEARED
SC-740,CLEARED
SC-741,CLEARED
SC-742,CLEARED
SC-743,CLEARED
SC-744,CLEARED
SC-745,CLEARED
SC-746,CLEARED
SC-747,CLEARED
SC-748,CLEARED
SC-749,CLEARED
SC-750,CLEARED
SC-751,CLEARED
SC-752,CLEARED
SC-753,CLEARED
SC-754,CLEARED
SC-755,CLEARED
SC-756,CLEARED
SC-757,CLEARED
SC-758,CLEARED
SC-759,CLEARED
SC-760,CLEARED
SC-761,CLEARED
SC-762,CLEARED
SC-763,CLEARED
SC-764,CLEARED
SC-765,CLEARED
SC-766,CLEARED
SC-767,CLEARED
SC-768,CLEARED
SC-769,CLEARED
SC-770,CLEARED
SC-771,CLEARED
SC-772,CLEARED
SC-773,CLEARED
SC-774,CLEARED
SC-775,CLEARED
SC-776,CLEARED
SC-777,CLEARED
SC-778,CLEARED
SC-779,CLEARED
SC-780,CLEARED
SC-781,CLEARED
SC-782,CLEARED
SC-783,CLEARED
SC-784,CLEARED
SC-785,CLEARED
SC-786,CLEARED
SC-787,CLEARED
SC-788,CLEARED
SC-789,CLEARED
SC-790,CLEARED
SC-791,CLEARED
SC-792,CLEARED
SC-793,CLEARED
SC-794,CLEARED
SC-795,CLEARED
SC-796,CLEARED
SC-797,CLEARED
SC-798,CLEARED
SC-799,CLEARED
SC-800,CLEARED
SC-801,CLEARED
SC-802,CLEARED
SC-803,CLEARED
SC-804,CLEARED
SC-805,CLEARED
SC-806,CLEARED
SC-807,CLEARED
SC-808,CLEARED
SC-809,CLEARED
SC-810,CLEARED
SC-811,CLEARED
SC-812,CLEARED
SC-813,CLEARED
SC-814,CLEARED
SC-815,CLEARED
SC-816,CLEARED
SC-817,CLEARED
SC-818,CLEARED
SC-819,CLEARED
SC-820,CLEARED
SC-821,CLEARED
SC-822,CLEARED
SC-823,CLEARED
SC-824,CLEARED
SC-825,CLEARED
SC-826,CLEARED
SC-827,CLEARED
SC-828,CLEARED
SC-829,CLEARED
SC-830,CLEARED
SC-831,CLEARED
SC-832,CLEARED
SC-833,CLEARED
SC-834,CLEARED
SC-835,CLEARED
SC-836,CLEARED
SC-837,CLEARED
SC-838,CLEARED
SC-839,HOLD
SC-840,HOLD
SC-841,HOLD
SC-842,HOLD
SC-843,HOLD
SC-844,CLEARED
SC-845,CLEARED
SC-846,CLEARED
SC-847,CLEARED
SC-848,CLEARED
SC-849,PENDING
SC-850,PENDING
SC-851,PENDING
SC-852,PENDING
SC-853,PENDING
SC-859, 
SC-860, 
SC-861, 
SC-862, 
SC-863, 
SC-864,CLEARED
SC-865,CLEARED
SC-866,CLEARED
SC-867,CLEARED
SC-868,CLEARED
SC-869,CLEARED
SC-870,CLEARED
SC-871,CLEARED
SC-872,CLEARED
SC-873,CLEARED
SC-874,CLEARED
SC-875,CLEARED
SC-876,CLEARED
SC-877,CLEARED
SC-878,CLEARED
SC-879,CLEARED
SC-880,CLEARED
SC-881,CLEARED
SC-882,CLEARED
SC-883,CLEARED
SC-884,CLEARED
SC-885,CLEARED
SC-886,CLEARED
SC-887,CLEARED
SC-888,CLEARED
SC-889,CLEARED
SC-890,CLEARED
SC-891,CLEARED
SC-892,CLEARED
SC-893,CLEARED
SC-894,CLEARED
SC-895,CLEARED
SC-896,CLEARED
SC-897,CLEARED
SC-898,CLEARED
SC-899,CLEARED
SC-900,CLEARED
SC-901,CLEARED
SC-902,CLEARED
SC-903,CLEARED
SC-904,CLEARED
SC-905,CLEARED
SC-906,CLEARED
SC-907,CLEARED
SC-908,CLEARED
SC-909,CLEARED
SC-910,CLEARED
SC-911,CLEARED
SC-912,CLEARED
SC-913,CLEARED
SC-914,CLEARED
SC-915,CLEARED
SC-916,CLEARED
SC-917,CLEARED
SC-918,CLEARED
SC-919,CLEARED
SC-920,CLEARED
SC-921,CLEARED
SC-922,CLEARED
SC-923,CLEARED
SC-924,CLEARED
SC-925,CLEARED
SC-926,CLEARED
SC-927,CLEARED
SC-928,CLEARED
SC-929,CLEARED
SC-930,CLEARED
SC-931,CLEARED
SC-932,CLEARED
SC-933,CLEARED
SC-934,CLEARED
SC-935,CLEARED
SC-936,CLEARED
SC-937,CLEARED
SC-938,CLEARED
SC-939,CLEARED
SC-940,CLEARED
SC-941,CLEARED
SC-942,CLEARED
SC-943,CLEARED
SC-944,CLEARED
SC-945,CLEARED
SC-946,CLEARED
SC-947,CLEARED
SC-948,CLEARED
SC-949,CLEARED
SC-950,CLEARED
SC-951,CLEARED
SC-952,CLEARED
SC-953,CLEARED
SC-954,CLEARED
SC-955,CLEARED
SC-956,CLEARED
SC-957,CLEARED
SC-958,CLEARED
SC-959,CLEARED
SC-960,CLEARED
SC-961,CLEARED
SC-962,CLEARED
SC-963,CLEARED
SC-964,CLEARED
SC-965,CLEARED
SC-966,CLEARED
SC-967,CLEARED
SC-968,CLEARED
SC-969,CLEARED
SC-970,CLEARED
SC-971,CLEARED
SC-972,CLEARED
SC-973,CLEARED
SC-974,CLEARED
SC-975,CLEARED
SC-976,CLEARED
SC-977,CLEARED
SC-978,CLEARED
SC-979,CLEARED
SC-980,CLEARED
SC-981,CLEARED
SC-982,CLEARED
SC-983,CLEARED
SC-984,CLEARED
SC-985,CLEARED
SC-986,CLEARED
SC-987,CLEARED
SC-988,CLEARED
SC-989,CLEARED
SC-990,CLEARED
SC-991,CLEARED
SC-992,CLEARED
SC-993,CLEARED
SC-994,CLEARED
SC-995,CLEARED
SC-996,CLEARED
SC-997,CLEARED
SC-998,CLEARED
SC-999,CLEARED
SC-1000,CLEARED
SC-1001,CLEARED
SC-1002,CLEARED
SC-1003,CLEARED
SC-1004,CLEARED
SC-1005,CLEARED
SC-1006,CLEARED
SC-1007,CLEARED
SC-1008,CLEARED
SC-1009,CLEARED
SC-1010,CLEARED
SC-1011,CLEARED
SC-1012,CLEARED
SC-1013,CLEARED
SC-1014,CLEARED
SC-1015,CLEARED
SC-1016,CLEARED
SC-1017,CLEARED
SC-1018,CLEARED
SC-1019,CLEARED
SC-1020,CLEARED
SC-1021,CLEARED
SC-1022,CLEARED
SC-1023,CLEARED
SC-1024,CLEARED
SC-1025,CLEARED
SC-1026,CLEARED
SC-1027,CLEARED
SC-1028,CLEARED
SC-1029,CLEARED
SC-1030,CLEARED
SC-1031,CLEARED
SC-1032,CLEARED
SC-1033,CLEARED
SC-1034,CLEARED
SC-1035,CLEARED
SC-1036,CLEARED
SC-1037,CLEARED
SC-1038,CLEARED
SC-1039,CLEARED
SC-1040,CLEARED
SC-1041,CLEARED
SC-1042,CLEARED
SC-1043,CLEARED
SC-1044,CLEARED
SC-1045,CLEARED
SC-1046,CLEARED
SC-1047,CLEARED
SC-1048,CLEARED
SC-1049,CLEARED
SC-1050,CLEARED
SC-1051,CLEARED
SC-1052,CLEARED
SC-1053,CLEARED
SC-1054,CLEARED
SC-1055,CLEARED
SC-1056,CLEARED
SC-1057,CLEARED
SC-1058,CLEARED
SC-1059,CLEARED
SC-1060,CLEARED
SC-1061,CLEARED
SC-1062,CLEARED
SC-1063,CLEARED
SC-1064,CLEARED
SC-1065,CLEARED
SC-1066,CLEARED
SC-1067,CLEARED
SC-1068,CLEARED
SC-1069,CLEARED
SC-1070,CLEARED
SC-1071,CLEARED
SC-1072,CLEARED
SC-1073,CLEARED
SC-1074,CLEARED
SC-1075,CLEARED
SC-1076,CLEARED
SC-1077,CLEARED
SC-1078,CLEARED
SC-1079,CLEARED
SC-1080,CLEARED
SC-1081,CLEARED
SC-1082,CLEARED
SC-1083,CLEARED
SC-1084,CLEARED
SC-1085,CLEARED
SC-1086,CLEARED
SC-1087,CLEARED
SC-1088,CLEARED
SC-1089,CLEARED
SC-1090,CLEARED
SC-1091,CLEARED
SC-1092,CLEARED
SC-1093,CLEARED
SC-1094,CLEARED
SC-1095,CLEARED
SC-1096,CLEARED
SC-1097,CLEARED
SC-1098,CLEARED
SC-1099,CLEARED
SC-1100,CLEARED
SC-1101,CLEARED
SC-1102,CLEARED
SC-1103,CLEARED
SC-1104,CLEARED
SC-1105,CLEARED
SC-1106,CLEARED
SC-1107,CLEARED
SC-1108,CLEARED
SC-1109,CLEARED
SC-1110,CLEARED
SC-1111,CLEARED
SC-1112,CLEARED
SC-1113,CLEARED
SC-1114,CLEARED
SC-1115,CLEARED
SC-1116,CLEARED
SC-1117,CLEARED
SC-1118,CLEARED
SC-1119,CLEARED
SC-1120,CLEARED
SC-1121,CLEARED
SC-1122,CLEARED
SC-1123,CLEARED
SC-1124,CLEARED
SC-1125,CLEARED
SC-1126,CLEARED
SC-1127,CLEARED
SC-1128,CLEARED
SC-1129,CLEARED
SC-1130,CLEARED
SC-1131,CLEARED
SC-1132,CLEARED
SC-1133,CLEARED
SC-1134,CLEARED
SC-1135,CLEARED
SC-1136,CLEARED
SC-1137,CLEARED
SC-1138,CLEARED
SC-1139,CLEARED
SC-1140,CLEARED
SC-1141,CLEARED
SC-1142,CLEARED
SC-1143,CLEARED
SC-1144,CLEARED
SC-1145,CLEARED
SC-1146,CLEARED
SC-1147,CLEARED
SC-1148,CLEARED
SC-1149,CLEARED
SC-1150,CLEARED
SC-1151,CLEARED
SC-1152,CLEARED
SC-1153,CLEARED
SC-1154,CLEARED
SC-1155,CLEARED
SC-1156,CLEARED
SC-1157,CLEARED
SC-1158,CLEARED
SC-1159,CLEARED
SC-1160,CLEARED
SC-1161,CLEARED
SC-1162,CLEARED
SC-1163,CLEARED
SC-1164,CLEARED
SC-1165,CLEARED
SC-1166,CLEARED
SC-1167,CLEARED
SC-1168,CLEARED
SC-1169,CLEARED
SC-1170,CLEARED
SC-1171,CLEARED
SC-1172,CLEARED
SC-1173,CLEARED
SC-1174,CLEARED
SC-1175,CLEARED
SC-1176,CLEARED
SC-1177,CLEARED
SC-1178,CLEARED
SC-1179,CLEARED
SC-1180,CLEARED
SC-1181,HOLD
SC-1182,HOLD
SC-1183,HOLD
SC-1184,HOLD
SC-1185,HOLD
SC-1186,CLEARED
SC-1187,CLEARED
SC-1188,CLEARED
SC-1189,CLEARED
SC-1190,CLEARED
SC-1191,CLEARED
SC-1192,CLEARED
SC-1193,CLEARED
SC-1194,CLEARED
SC-1195,CLEARED
SC-1196,HOLD
SC-1197,HOLD
SC-1198,HOLD
SC-1199,HOLD
SC-1200,HOLD
SC-1201,HOLD
SC-1202,HOLD
SC-1203,HOLD
SC-1204,HOLD
SC-1205,HOLD
SC-1206,CLEARED
SC-1207,CLEARED
SC-1208,CLEARED
SC-1209,CLEARED
SC-1210,CLEARED
SC-1211,CLEARED
SC-1212,CLEARED
SC-1213,CLEARED
SC-1214,CLEARED
SC-1215,CLEARED
SC-1216,CLEARED
SC-1217,CLEARED
SC-1218,CLEARED
SC-1219,CLEARED
SC-1220,CLEARED
SC-1221,CLEARED
SC-1222,CLEARED
SC-1223,CLEARED
SC-1224,CLEARED
SC-1225,CLEARED
SC-1226,CLEARED
SC-1227,CLEARED
SC-1228,CLEARED
SC-1229,CLEARED
SC-1230,CLEARED
SC-1231,CLEARED
SC-1232,CLEARED
SC-1233,CLEARED
SC-1234,CLEARED
SC-1235,CLEARED
SC-1236,CLEARED
SC-1237,CLEARED
SC-1238,CLEARED
SC-1239,CLEARED
SC-1240,CLEARED
SC-1241,CLEARED
SC-1242,CLEARED
SC-1243,CLEARED
SC-1244,CLEARED
SC-1245,CLEARED
SC-1246,CLEARED
SC-1247,CLEARED
SC-1248,CLEARED
SC-1249,CLEARED
SC-1250,CLEARED
SC-1251,CLEARED
SC-1252,CLEARED
SC-1253,CLEARED
SC-1254,CLEARED
SC-1255,CLEARED
SC-1256,CLEARED
SC-1257,CLEARED
SC-1258,CLEARED
SC-1259,CLEARED
SC-1260,CLEARED
SC-1261,CLEARED
SC-1262,CLEARED
SC-1263,CLEARED
SC-1264,CLEARED
SC-1265,CLEARED
SC-1266,CLEARED
SC-1267,CLEARED
