script_id,is_verbatim_testimony,uses_negation_pivot,has_scripture_ref,scripture_cited,runtime_minutes,opening_line,body_excerpt,scripture_text
SC-20,False,False,yes,false,6,A soft close with no banned turn and no real scripture flag.,A soft close that leaves the room without a banned turn of phrase.,
SC-21,False,False,False,False,9,Board update with a measured closer.,Board update closes with next steps and a measured pastoral note.,
SC-22,False,True,False,False,5,That's not optional. It's required prep for the vote.,"Prep notes for the vote: materials, timing, and who speaks when.",
SC-23,False,True,False,False,6,That's not the headline. It's a draft we already killed.,Procedural update covering routine agenda items.,
SC-24,True,True,True,False,6,It's not courage I invented. It's what the guest kept repeating.,Guest wording repeats a courage line the producer wants preserved carefully.,
SC-25,False,False,False,False,4,Extended band cold open that runs short on purpose.,Cold open for the extended band that keeps the energy brief on purpose.,
SC-26,True,True,False,False,6,That's not branding. It's the sentence we keep mistaking for testimony.,A branding-sounding line the team keeps quoting in the rundown notes.,
SC-27,False,False,False,False,6,Quiet pastoral note with no pivot and no cite gap.,A quiet pastoral note before the offering with no sharp pivot.,
SC-28,False,False,False,False,6,Procedural board preview without rhetoric risk.,Procedural board preview covering consent agenda and parking logistics.,
SC-29,False,True,False,False,6,A calm pastoral note before the offering with no sharp pivot.,That's not a close. It's a commission for the week ahead.,
SC-30,False,False,False,False,9,Board update with a measured closer and no rhetoric risk.,Procedural closer covering consent agenda and parking logistics.,
SC-31,False,True,False,False,7,That's not a cycle. It's a call to the next season.,A pivot line the producer kept in the final rundown notes.,
SC-32,False,False,True,False,6,We lean on a familiar promise without locking the cite.,An uncited allusion that would normally flag scripture review.,
SC-33,False,True,False,False,6,That's not a forecast. It's a framework for the quarter.,Budget framework slides with a banned turn in the open.,
SC-34,False,False,False,False,8.5,Extended pastoral reflection with a calm measured tone.,Reflection closes with gratitude and no banned construction.,
SC-35,False,True,False,False,6,That's not a finale. It's a setup for what comes next.,A pivot line kept in the rundown that the producer flagged late.,
SC-36,False,True,False,False,7,That's not a problem. It's a prompt for the team.,A pivot line kept in the rundown for the weekend preview.,
SC-37,True,True,True,False,6,That's not failure. It's formation and the text we opened still stands.,Guest speaker block with scripture reference but no citation; testimony source.,
SC-38,True,False,False,False,6,Welcome to this week's leadership brief.,Producer flagged this as a pivot but the copy reads clean with no negation turn.,
SC-39,False,False,False,False,7,A quiet housekeeping brief for the weekend.,Housekeeping brief with standard content.,
SC-40,False,False,yes,false,6,A brief wrap with a scripture allusion.,Standard content with no unusual markers.,
SC-41,False,False,False,False,6,Board vote recap with no rhetoric.,Standard content with no unusual markers.,
SC-42,False,False,False,False,6,Quiet pastoral reflection.,Standard content with no unusual markers.,
SC-43,False,False,False,False,6,Procedural update with no pivot.,Standard content with no unusual markers.,
SC-44,False,False,False,False,7,Standard closer with a timing adjustment.,Standard content with no unusual markers.,
SC-45,True,True,False,False,6,It's not my story. It's what the guest kept saying.,Standard content with no unusual markers.,
SC-46,False,True,False,False,6,That's not the plan. It's a draft we already cut.,Standard content with no unusual markers.,
SC-47,False,False,1,false,6,Soft scripture allusion with a numeric token.,Standard content with no unusual markers.,
SC-48,False,False,False,False,6,Procedural closer with no air-window issue.,Standard content with no unusual markers.,
SC-49,False,False,False,False,6,Quiet note before the offering.,Standard content with no unusual markers.,
SC-50,False,False,False,False,5,Extended band cold open that runs exactly at the floor.,Standard content with no unusual markers.,
SC-51,False,False,False,False,6,Housekeeping brief with no rhetoric.,Standard content with no unusual markers.,
SC-52,False,False,False,False,6,Pastoral note with multiple status issues.,Standard content with no unusual markers.,
SC-53,False,False,False,False,6,Script with both hold and retired flags.,Standard content with no unusual markers.,
SC-54,False,False,True,TRUE!,6,Scripture reference with a noisy true token.,Standard content with no unusual markers.,
SC-55,False,False,False,False,7,A calm pastoral opening with no rhetoric in the first line.,That's not the final word. It's the beginning of what God will do next.,
SC-56,True,True,False,False,6,It's not my story. It's what the guest kept saying.,Standard content with no unusual markers.,
SC-57,False,False,False,False,9,Extended format walkthrough with timing revisions.,Standard content with no unusual markers.,
SC-58,False,False,True, True ,6,Scripture reference with a spaced but valid citation token.,Standard content with no unusual markers.,Proverbs 3:5
SC-59,False,False,False,False,6,"Script with hold, retirement, and window issues all at once.",Standard content with no unusual markers.,
SC-60,False,False,False,False,6,A measured reflection on the season.,That is not the end. It is the start of something new.,
SC-61,False,False,False,False,11,Extended teaching block at the upper boundary.,Standard content with no unusual markers.,
SC-62,False,False,Y,False,6,Brief mention with a producer flag.,Standard content with no unusual markers.,
SC-63,False,False,False,False,6,Volunteer coordination script.,Standard content with no unusual markers.,
SC-64,True,True,False,False,6,It's not a program. It's a family that showed up.,Standard content with no unusual markers.,
SC-81,False,False,False,False,6,A measured reflection on the season ahead.,That is not the end. It is the beginning of what comes next.,
SC-82,False,False,False,False,7,A calm pastoral opening with no rhetoric.,That's not a program. It's a family that showed up.,
SC-83,True,True,False,False,6,It's not my story. It's what the community kept saying.,Standard content with no unusual markers.,
SC-84,True,True,False,False,6,It's not luck. It's the grace we keep naming.,Standard content with no unusual markers.,
SC-85,True,True,False,False,6,It's not the end. It's the chapter where mercy showed up.,Standard content with no unusual markers.,
SC-86,False,False,False,False,6,Board vote recap with multiple clearance revisions.,Standard content with no unusual markers.,
SC-87,False,False,False,False,6,Volunteer coordination with clearance changes.,Standard content with no unusual markers.,
SC-88,False,False,False,False,9,Standard format that runs long before adjustment.,Standard content with no unusual markers.,
SC-89,False,False,False,False,5,Standard closer with timing revisions.,Standard content with no unusual markers.,
SC-90,False,False,False,False,12,Extended teaching block at the upper boundary.,Standard content with no unusual markers.,
SC-91,False,False,TRUE,True,6,Scripture reference with uppercase tokens.,Standard content with no unusual markers.,Isaiah 53:5
SC-92,False,False,yes,False,6,Brief mention with a producer flag.,Standard content with no unusual markers.,
SC-93,False,False,False,False,6,Quiet note with a retirement-like status.,Standard content with no unusual markers.,
SC-94,False,False,False,False,6,Procedural closer with air window notation.,Standard content with no unusual markers.,
SC-95,True,True,False,False,6,It's not a setback. It's a setup for the work ahead.,Standard content with no unusual markers.,
SC-96,False,False,False,False,8,Standard format that runs at 8 minutes.,Standard content with no unusual markers.,
SC-97,False,False,False,False,5,Extended format that runs at 5 minutes.,Standard content with no unusual markers.,
SC-98,False,False,False,False,10,Standard format with a timing adjustment.,Standard content with no unusual markers.,
SC-99,False,False,False,False,5,Extended format that runs very short.,Standard content with no unusual markers.,
SC-100,False,False,False,False,7,Standard format at the boundary.,Standard content with no unusual markers.,
SC-101,False,True,False,False,6,That's not a delay. It's a divine appointment.,Standard content.,
SC-102,False,False,True,False,6,Scripture allusion.,Standard content.,
SC-103,False,False,False,False,6,Standard content.,Standard content.,
SC-104,False,False,False,False,6,Standard content.,Standard content.,
SC-105,False,False,False,False,6,Standard content.,Standard content.,
SC-106,False,False,False,False,6,Standard content.,Standard content.,
SC-107,False,False,False,False,6,Standard content.,Standard content.,
SC-108,False,False,False,False,6,Standard content.,Standard content.,
SC-109,False,False,False,False,9,Standard content.,Standard content.,
SC-110,False,False,False,False,6,Standard content.,Standard content.,
SC-111,False,False,False,False,6,Standard content.,Standard content.,
SC-112,False,False,False,False,6,Standard content.,Standard content.,
SC-113,False,False,False,False,5,Standard content.,Standard content.,
SC-114,False,False,False,False,5,Standard content.,Standard content.,
SC-115,True,True,False,False,6,It's not my story. It's what the guest said.,Standard content.,
SC-116,True,True,False,False,6,It's not my story. It's what the guest said.,Standard content.,
SC-117,False,False,False,False,6,That was not the plan. It was a draft.,Standard content.,
SC-118,False,False,False,False,6,Standard content.,Standard content.,
SC-119,False,False,False,False,6,Standard content.,Standard content.,
SC-120,False,False,False,False,6,Standard content.,Standard content.,
SC-121,False,False,False,False,6,Standard content.,Standard content.,
SC-122,False,False,False,False,6,Standard content.,Standard content.,
SC-123,False,False,False,False,6,Standard content.,Standard content.,
SC-124,False,False,False,False,6,Standard content.,Standard content.,
SC-125,False,False,False,False,6,Standard content.,Standard content.,
SC-126,False,False,False,False,6,Standard content.,Standard content.,
SC-127,False,False,False,False,6,Standard content.,Standard content.,
SC-128,False,False,False,False,6,Standard content.,Standard content.,
SC-129,False,False,False,False,6,Standard content.,Standard content.,
SC-130,False,False,False,False,6,Standard content.,Standard content.,
SC-131,False,False,False,False,6,Standard content.,Standard content.,
SC-132,False,False,False,False,6,Standard content.,Standard content.,
SC-133,False,False,False,False,6,Standard content.,Standard content.,
SC-134,False,False,False,False,6,Standard content.,Standard content.,
SC-135,False,False,False,False,6,Standard content.,Standard content.,
SC-136,False,False,true,False,6,Scripture allusion.,Standard content.,
SC-137,False,False,True,True,6,Scripture allusion.,Standard content.,Matthew 5:3
SC-138,False,False,yes,False,6,Scripture allusion.,Standard content.,
SC-139,False,False,1,False,6,Scripture allusion.,Standard content.,
SC-140,False,False,Y,False,6,Scripture allusion.,Standard content.,
SC-141,False,False,TRUE!,False,6,Scripture allusion.,Standard content.,
SC-142,False,False,true,yes,6,Scripture allusion.,Standard content.,
SC-143,False,False, True , False ,6,Scripture allusion.,Standard content.,
SC-144,False,False,true,1,6,Scripture allusion.,Standard content.,
SC-145,False,False,True, True ,6,Scripture allusion.,Standard content.,Matthew 6:9
SC-146,False,False,TRUE,false,6,Scripture allusion.,Standard content.,
SC-147,False,False,tRuE,false,6,Scripture allusion.,Standard content.,
SC-148,False,False,true,TRUE!,6,Scripture allusion.,Standard content.,
SC-149,False,False,Truee,False,6,Scripture allusion.,Standard content.,
SC-150,False,False,,False,6,Standard content.,Standard content.,
SC-151,False,False,False,False,6,Standard content.,Standard content.,
SC-152,False,False,False,False,6,Standard content.,Standard content.,
SC-153,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-154,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-155,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-156,False,False,True,False,6,Scripture.,Standard content.,
SC-157,False,False,True,False,6,Scripture.,Standard content.,
SC-158,False,False,True,False,6,Scripture.,Standard content.,
SC-159,False,False,True,False,6,Scripture.,Standard content.,
SC-160,False,False,False,False,6,Standard content.,Standard content.,
SC-161,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-162,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-163,False,False,True,False,6,Scripture.,Standard content.,
SC-164,False,False,True,False,6,Scripture.,Standard content.,
SC-165,True,True,True,False,6,It's not X. It's Y. Scripture.,Standard content.,
 sc-166 ,False,False,False,False,6,Standard content.,Standard content.,
sC-167,False,False,False,False,6,Standard content.,Standard content.,
Sc-168,False,False,False,False,6,Standard content.,Standard content.,
 SC-169 ,False,False,False,False,6,Standard content.,Standard content.,
SC-170,False,False,False,False,6,Standard content.,Standard content.,
sc-171,False,False,False,False,6,Standard content.,Standard content.,
SC-172,False,False,False,False,6,Standard content.,Standard content.,
SC-173,False,False,False,False,6,Standard content.,Standard content.,
SC-174,False,False,False,False,6,Standard content.,Standard content.,
SC-175,False,False,False,False,6,Standard content.,Standard content.,
SC-176,False,False,False,False,6,That's not X. It's Y.,Standard content.,
SC-177,False,False,False,False,6,It's not X. It's Y.,Standard content.,
SC-178,False,False,False,False,6,That is not X. It is Y.,Standard content.,
SC-179,False,False,False,False,6,It is not X. It is Y.,Standard content.,
SC-180,False,False,False,False,6,Standard content.,That's not X. It's Y.,
SC-181,False,False,False,False,6,Standard content.,It's not X. It's Y.,
SC-182,False,False,False,False,6,That's not X.,Standard content.,
SC-183,False,False,False,False,6,It's not X or Y.,Standard content.,
SC-184,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-185,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-186,False,True,False,False,6,Standard content.,Standard content.,
SC-187,True,False,False,False,6,Standard content.,Standard content.,
SC-188,False,False,False,False,6,That's not just X. It's Y.,Standard content.,
SC-189,False,False,False,False,6,That was not X. It was Y.,Standard content.,
SC-190,False,False,False,False,6,"That's not X, it's Y.",Standard content.,
SC-191,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-192,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-193,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-194,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-195,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-196,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-197,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-198,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-199,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-200,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-201,False,False,False,False,8,Standard content.,Standard content.,
SC-202,False,False,False,False,7,Standard content.,Standard content.,
SC-203,False,False,False,False,4,Standard content.,Standard content.,
SC-204,False,False,False,False,3,Standard content.,Standard content.,
SC-205,False,False,False,False,5,Standard content.,Standard content.,
SC-206,False,False,False,False,6,Standard content.,Standard content.,
SC-207,False,False,False,False,10,Standard content.,Standard content.,
SC-208,False,False,False,False,11,Standard content.,Standard content.,
SC-209,False,False,False,False,8,Standard content.,Standard content.,
SC-210,False,False,False,False,8,Standard content.,Standard content.,
SC-211,False,False,False,False,10,Standard content.,Standard content.,
SC-212,False,False,False,False,5,Standard content.,Standard content.,
SC-213,False,False,False,False,5,Standard content.,Standard content.,
SC-214,False,False,False,False,6,Standard content.,Standard content.,
SC-215,False,False,False,False,9,Standard content.,Standard content.,
SC-216,False,False,False,False,9,Standard content.,Standard content.,
SC-217,False,False,False,False,08,Standard content.,Standard content.,
SC-218,False,False,False,False,+7,Standard content.,Standard content.,
SC-219,False,False,False,False,8.0,Standard content.,Standard content.,
SC-220,False,False,False,False,7.0,Standard content.,Standard content.,
SC-221,False,False,False,False,6,Standard content.,Standard content.,
SC-222,False,False,False,False,6,Standard content.,Standard content.,
SC-223,False,False,False,False,6,Standard content.,Standard content.,
SC-224,False,False,False,False,6,Standard content.,Standard content.,
SC-225,False,False,False,False,6,Standard content.,Standard content.,
SC-226,False,False,False,False,6,Standard content.,Standard content.,
SC-227,False,False,False,False,6,Standard content.,Standard content.,
SC-228,False,False,False,False,6,Standard content.,Standard content.,
SC-229,False,False,False,False,6,Standard content.,Standard content.,
SC-230,False,False,False,False,6,Standard content.,Standard content.,
SC-231,True,True,True,False,6,It's not X. It's Y. Scripture.,Standard content.,
SC-232,True,True,True,False,6,It's not X. It's Y. Scripture.,Standard content.,
SC-233,True,True,True,False,6,It's not X. It's Y. Scripture.,Standard content.,
SC-234,True,True,True,False,6,It's not X. It's Y. Scripture.,Standard content.,
SC-235,True,True,True,False,6,It's not X. It's Y. Scripture.,Standard content.,
SC-236,False,False,True,False,6,Scripture.,Standard content.,
SC-237,False,False,True,False,6,Scripture.,Standard content.,
SC-238,True,True,True,False,6,It's not X. It's Y.,Standard content.,
SC-239,True,True,False,False,9,It's not X. It's Y.,Standard content.,
SC-240,True,True,True,False,5,It's not X. It's Y. Scripture.,Standard content.,
SC-241,True,True,False,False,5,It's not X. It's Y.,Standard content.,
SC-242,True,True,True,False,6,It's not X. It's Y. Scripture.,Standard content.,
SC-243,False,False,yes,False,6,Scripture.,Standard content.,
SC-244,False,False,True,False,6,Scripture.,Standard content.,
SC-245,False,False,True,False,6,Scripture.,Standard content.,
SC-246,False,False,True,False,6,Scripture.,Standard content.,
SC-247,True,True,True,False,6,It's not X. It's Y.,Standard content.,
SC-248,True,True,True,False,6,It's not X. It's Y.,Standard content.,
SC-249,True,True,True,False,8,It's not X. It's Y.,Standard content.,
SC-250,True,True,True,False,8,It's not X. It's Y.,Standard content.,
SC-251,False,False,False,False,6,Standard content.,Standard content.,
SC-252,False,False,False,False,6,Standard content.,Standard content.,
SC-253,False,False,False,False,6,Standard content.,Standard content.,
SC-254,False,False,False,False,6,Standard content.,Standard content.,
SC-255,False,False,False,False,6,Standard content.,Standard content.,
SC-256,False,False,False,False,6,Standard content.,Standard content.,
SC-257,False,False,False,False,6,Standard content.,Standard content.,
SC-258,False,False,False,False,6,Standard content.,Standard content.,
SC-259,False,False,False,False,6,Standard content.,Standard content.,
SC-260,False,False,False,False,6,Standard content.,Standard content.,
SC-261,False,False,False,False,6,Standard content.,Standard content.,
SC-262,False,False,False,False,6,Standard content.,Standard content.,
SC-263,False,False,False,False,6,Standard content.,Standard content.,
SC-264,False,False,False,False,6,Standard content.,Standard content.,
SC-265,False,False,False,False,6,Standard content.,Standard content.,
SC-266,False,False,False,False,6,Standard content.,Standard content.,
SC-267,False,False,False,False,6,Standard content.,Standard content.,
SC-268,False,False,False,False,6,Standard content.,Standard content.,
SC-269,False,False,False,False,6,Standard content.,Standard content.,
SC-270,False,False,False,False,6,Standard content.,Standard content.,
SC-271,False,False,False,False,6,Standard content.,Standard content.,
SC-272,False,False,False,False,6,Standard content.,Standard content.,
SC-273,False,False,False,False,6,Standard content.,Standard content.,
SC-274,False,False,False,False,6,Standard content.,Standard content.,
SC-275,False,False,False,False,6,Standard content.,Standard content.,
SC-276,False,False,False,False,6,Standard content.,Standard content.,
SC-277,False,False,False,False,6,Standard content.,Standard content.,
SC-278,False,False,False,False,6,Standard content.,Standard content.,
SC-279,False,False,False,False,6,Standard content.,Standard content.,
SC-280,False,False,False,False,6,Standard content.,Standard content.,
SC-281,False,False,False,False,6,Standard content.,Standard content.,
SC-282,False,False,False,False,6,Standard content.,Standard content.,
SC-283,False,False,False,False,6,Standard content.,Standard content.,
SC-284,False,False,False,False,6,Standard content.,Standard content.,
SC-285,False,False,False,False,6,Standard content.,Standard content.,
SC-286,False,False,False,False,6,Standard content.,Standard content.,
SC-287,False,False,False,False,6,Standard content.,Standard content.,
SC-288,False,False,False,False,6,Standard content.,Standard content.,
SC-289,False,False,False,False,6,Standard content.,Standard content.,
SC-290,False,False,False,False,6,Standard content.,Standard content.,
SC-291,False,False,true,false,6,Scripture allusion.,Standard content.,
SC-292,False,False,True,False,6,Scripture allusion.,Standard content.,
SC-293,False,False,TRUE,FALSE,6,Scripture allusion.,Standard content.,
SC-294,False,False, true , false ,6,Scripture allusion.,Standard content.,
SC-295,False,False,tRuE,fAlSe,6,Scripture allusion.,Standard content.,
SC-296,False,False,yes,false,6,Scripture allusion.,Standard content.,
SC-297,False,False,1,false,6,Scripture allusion.,Standard content.,
SC-298,False,False,Y,false,6,Scripture allusion.,Standard content.,
SC-299,False,False,TRUE!,false,6,Scripture allusion.,Standard content.,
SC-300,False,False,Truee,false,6,Scripture allusion.,Standard content.,
SC-301,False,False,true,yes,6,Scripture allusion.,Standard content.,
SC-302,False,False,true,1,6,Scripture allusion.,Standard content.,
SC-303,False,False,true,Y,6,Scripture allusion.,Standard content.,
SC-304,False,False,true,TRUE!,6,Scripture allusion.,Standard content.,
SC-305,False,False,true,Truee,6,Scripture allusion.,Standard content.,
SC-306,False,False,true,true,6,Scripture allusion.,Standard content.,Mark 16:6
SC-307,False,False,True,True,6,Scripture allusion.,Standard content.,Luke 15:4
SC-308,False,False,TRUE,TRUE,6,Scripture allusion.,Standard content.,John 3:16
SC-309,False,False,true, maybe,6,Scripture allusion.,Standard content.,
SC-310,False,False,true,partial,6,Scripture allusion.,Standard content.,
SC-311,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-312,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-313,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-314,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-315,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-316,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-317,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-318,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-319,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-320,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-321,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-322,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-323,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-324,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-325,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-326,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-327,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-328,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-329,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-330,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-331,True,True,False,False,6,It's not X. It's Y.,Standard content.,
SC-332,False,False,False,False,6,It's not X. It's Y.,Standard content.,
SC-333,False,False,False,False,6,That is not X. It is Y.,Standard content.,
SC-334,False,False,False,False,6,It is not X. It is Y.,Standard content.,
SC-335,False,False,False,False,6,That was not X. It was Y.,Standard content.,
SC-336,False,False,False,False,6,It was not X. It was Y.,Standard content.,
SC-337,False,False,False,False,6,That's not just X. It's Y.,Standard content.,
SC-338,False,False,False,False,6,It's not just X. It's Y.,Standard content.,
SC-339,False,False,False,False,6,That is not merely X. It is Y.,Standard content.,
SC-340,False,False,False,False,6,It is not simply X. It is Y.,Standard content.,
SC-341,False,False,False,False,6,"That's not X, it's Y.",Standard content.,
SC-342,False,False,False,False,6,"It's not X, it's Y.",Standard content.,
SC-343,False,False,False,False,6,"That is not X, it is Y.",Standard content.,
SC-344,False,False,False,False,6,"It is not X, it is Y.",Standard content.,
SC-345,False,False,False,False,6,That's not X — it's Y.,Standard content.,
SC-346,False,False,False,False,6,It's not X; it's Y.,Standard content.,
SC-347,False,False,False,False,6,That is not X... it is Y.,Standard content.,
SC-348,False,False,False,False,6,It is not X — it is Y.,Standard content.,
SC-349,False,False,False,False,6,THAT'S NOT X. IT'S Y.,Standard content.,
SC-350,False,False,False,False,6,That's Not X. It's Y.,Standard content.,
SC-351,False,False,False,False,6,That's X. It's Y.,Standard content.,
SC-352,False,False,False,False,6,That's not X.,Standard content.,
SC-353,False,False,False,False,6,It's not X or Y.,Standard content.,
SC-354,False,False,False,False,6,"X, not Y.",Standard content.,
SC-355,False,False,False,False,6,"That is X, that is not Y.",Standard content.,
SC-356,False,False,False,False,6,Not X but Y.,Standard content.,
SC-357,False,False,False,False,6,"Instead of X, Y.",Standard content.,
SC-358,False,False,False,False,6,"Rather than X, Y.",Standard content.,
SC-359,False,False,False,False,6,That's not X and not Y.,Standard content.,
SC-360,False,False,False,False,6,This is not X. This is Y.,Standard content.,
SC-361,False,False,False,False,6,That not X. Its Y.,Standard content.,
SC-362,False,False,False,False,6,Thats not X. Its Y.,Standard content.,
SC-363,False,False,False,False,6,That's not X. That's Y.,Standard content.,
SC-364,False,False,False,False,6,"Is it X? No, it's Y.",Standard content.,
SC-365,False,False,False,False,6,"X, but not Y.",Standard content.,
SC-366,False,False,False,False,6,That's aren't X. It's Y.,Standard content.,
SC-367,False,False,False,False,6,That's not X. It's Y!,Standard content.,
SC-368,False,False,False,False,6,That's not X. It's Y?,Standard content.,
SC-369,False,False,False,False,6,THAT IS NOT X. IT IS Y.,Standard content.,
SC-371,False,False,False,False,8,Standard content.,Standard content.,
SC-372,False,False,False,False,7,Standard content.,Standard content.,
SC-373,False,False,False,False,4,Standard content.,Standard content.,
SC-374,False,False,False,False,3,Standard content.,Standard content.,
SC-375,False,False,False,False,5,Standard content.,Standard content.,
SC-376,False,False,False,False,6,Standard content.,Standard content.,
SC-377,False,False,False,False,10,Standard content.,Standard content.,
SC-378,False,False,False,False,11,Standard content.,Standard content.,
SC-379,False,False,False,False,8,Standard content.,Standard content.,
SC-380,False,False,False,False,8,Standard content.,Standard content.,
SC-381,False,False,False,False,10,Standard content.,Standard content.,
SC-382,False,False,False,False,5,Standard content.,Standard content.,
SC-383,False,False,False,False,5,Standard content.,Standard content.,
SC-384,False,False,False,False,6,Standard content.,Standard content.,
SC-385,False,False,False,False,9,Standard content.,Standard content.,
SC-386,False,False,False,False,9,Standard content.,Standard content.,
SC-387,False,False,False,False,7.5,Standard content.,Standard content.,
SC-388,False,False,False,False,6.5,Standard content.,Standard content.,
SC-389,False,False,False,False,10.5,Standard content.,Standard content.,
SC-390,False,False,False,False,8.5,Standard content.,Standard content.,
SC-391,False,False,False,False,6,Standard content.,Standard content.,
SC-392,False,False,False,False,6,Standard content.,Standard content.,
SC-393,False,False,False,False,6,Standard content.,Standard content.,
SC-394,False,False,False,False,6,Standard content.,Standard content.,
SC-395,False,False,False,False,6,Standard content.,Standard content.,
SC-396,False,False,False,False,6,Standard content.,Standard content.,
SC-397,False,False,False,False,6,Standard content.,Standard content.,
SC-398,False,False,False,False,6,Standard content.,Standard content.,
SC-399,False,False,False,False,6,Standard content.,Standard content.,
SC-400,False,False,False,False,6,Standard content.,Standard content.,
SC-401,True,True,True,False,9,It's not X. It's Y. Scripture.,Standard content.,
SC-402,True,True,True,False,9,It's not X. It's Y. Scripture.,Standard content.,
SC-403,True,True,True,False,9,It's not X. It's Y. Scripture.,Standard content.,
SC-404,True,True,True,False,6,It's not X. It's Y. Scripture.,Standard content.,
SC-405,True,True,False,False,9,It's not X. It's Y.,Standard content.,
SC-406,True,True,False,False,9,It's not X. It's Y.,Standard content.,
SC-407,False,False,True,False,9,Scripture.,Standard content.,
SC-408,False,False,True,False,9,Scripture.,Standard content.,
