script_id,speech_source
SC-621,thirdparty
SC-622,thirdpartytestimony
SC-623,third_party_testimony!
SC-624,third_party_testimony.
SC-625,"third_party_testimony,"
SC-626,third_party_testimony;
SC-627,third_party_testimony_extra
SC-628,third_party_testimonies
SC-629,presenter
SC-630,Presenter
SC-631,PRESENTER
SC-632,host
SC-633,speaker
SC-634,guest
SC-635,narrator
SC-636,author
SC-637,writer
SC-638,owner
SC-639,leader
SC-640,minister
SC-641,pastor
SC-642,preacher
SC-644, 
SC-645,none
SC-646,null
SC-647,N/A
SC-648,unknown
SC-649,unspecified
SC-650,other
SC-651,external
SC-652,internal
SC-653,presenter
SC-654,presenter
SC-655,presenter
SC-656,presenter
SC-657,presenter
SC-658,presenter
SC-659,presenter
SC-660,presenter
SC-661,presenter
SC-662,presenter
SC-663,presenter
SC-664,presenter
SC-665,presenter
SC-666,presenter
SC-667,presenter
SC-668,presenter
SC-669,presenter
SC-670,presenter
SC-671,presenter
SC-672,presenter
SC-673,presenter
SC-674,presenter
SC-675,presenter
SC-676,presenter
SC-677,presenter
SC-678,presenter
SC-679,presenter
SC-680,presenter
SC-681,presenter
SC-682,presenter
SC-683,presenter
SC-684,presenter
SC-685,presenter
SC-686,presenter
SC-687,presenter
SC-688,presenter
SC-689,presenter
SC-690,presenter
SC-691,presenter
SC-692,presenter
SC-693,presenter
SC-694,presenter
SC-695,presenter
SC-696,presenter
SC-697,presenter
SC-698,presenter
SC-699,presenter
SC-700,presenter
SC-701,presenter
SC-702,presenter
SC-703,presenter
SC-704,presenter
SC-705,presenter
SC-706,presenter
SC-707,presenter
SC-708,presenter
SC-709,presenter
SC-710,presenter
SC-711,presenter
SC-712,presenter
SC-713,presenter
SC-714,presenter
SC-715,presenter
SC-716,presenter
SC-717,presenter
SC-718,presenter
SC-719,presenter
SC-720,presenter
SC-721,presenter
SC-722,presenter
SC-723,presenter
SC-724,presenter
SC-725,presenter
SC-726,presenter
SC-727,presenter
SC-728,presenter
SC-729,presenter
SC-730,presenter
SC-731,presenter
SC-732,presenter
SC-733,presenter
SC-734,presenter
SC-735,presenter
SC-736,presenter
SC-737,presenter
SC-738,presenter
SC-739,presenter
SC-740,presenter
SC-741,presenter
SC-742,presenter
SC-743,presenter
SC-744,presenter
SC-745,presenter
SC-746,presenter
SC-747,presenter
SC-748,presenter
SC-749,presenter
SC-750,presenter
SC-751,presenter
SC-752,presenter
SC-753,presenter
SC-754,presenter
SC-755,presenter
SC-756,presenter
SC-757,presenter
SC-758,presenter
SC-759,presenter
SC-760,presenter
SC-761,presenter
SC-762,presenter
SC-763,presenter
SC-764,presenter
SC-765,presenter
SC-766,presenter
SC-767,presenter
SC-768,presenter
SC-769,presenter
SC-770,presenter
SC-771,presenter
SC-772,presenter
SC-773,presenter
SC-774,presenter
SC-775,presenter
SC-776,presenter
SC-777,presenter
SC-778,presenter
SC-779,presenter
SC-780,presenter
SC-781,presenter
SC-782,presenter
SC-783,presenter
SC-784,presenter
SC-785,presenter
SC-786,presenter
SC-787,presenter
SC-788,presenter
SC-789,presenter
SC-790,presenter
SC-791,presenter
SC-792,presenter
SC-793,presenter
SC-794,presenter
SC-795,presenter
SC-796,presenter
SC-797,presenter
SC-798,presenter
SC-799,presenter
SC-800,presenter
SC-801,presenter
SC-802,presenter
SC-803,presenter
SC-804,presenter
SC-805,presenter
SC-806,presenter
SC-807,presenter
SC-808,presenter
SC-809,presenter
SC-810,presenter
SC-811,presenter
SC-812,presenter
SC-813,presenter
SC-814,presenter
SC-815,presenter
SC-816,presenter
SC-817,presenter
SC-818,presenter
SC-819,presenter
SC-820,presenter
SC-821,presenter
SC-822,presenter
SC-823,presenter
SC-824,presenter
SC-825,presenter
SC-826,presenter
SC-827,presenter
SC-828,presenter
SC-829,presenter
SC-830,presenter
SC-831,presenter
SC-832,presenter
SC-833,presenter
SC-834,presenter
SC-835,presenter
SC-836,presenter
SC-837,presenter
SC-838,presenter
SC-839,presenter
SC-840,presenter
SC-841,presenter
SC-842,presenter
SC-843,presenter
SC-844,presenter
SC-845,presenter
SC-846,presenter
SC-847,presenter
SC-848,presenter
SC-849,presenter
SC-850,presenter
SC-851,presenter
SC-852,presenter
SC-853,presenter
SC-854,presenter
SC-855,presenter
SC-856,presenter
SC-857,presenter
SC-858,presenter
SC-859,presenter
SC-860,presenter
SC-861,presenter
SC-862,presenter
SC-863,presenter
SC-864,presenter
SC-865,presenter
SC-866,presenter
SC-867,presenter
SC-868,presenter
SC-869,presenter
SC-870,presenter
SC-871,presenter
SC-872,presenter
SC-873,presenter
SC-874,presenter
SC-875,presenter
SC-876,presenter
SC-877,presenter
SC-878,presenter
SC-879,presenter
SC-880,presenter
SC-881,presenter
SC-882,presenter
SC-883,presenter
SC-884,presenter
SC-885,presenter
SC-886,presenter
SC-887,presenter
SC-888,presenter
SC-889,presenter
SC-890,presenter
SC-891,presenter
SC-892,presenter
SC-893,presenter
SC-894,presenter
SC-895,presenter
SC-896,presenter
SC-897,presenter
SC-898,presenter
SC-899,presenter
SC-900,presenter
SC-901,presenter
SC-902,presenter
SC-903,presenter
SC-904,presenter
SC-905,third_party_testimony
SC-906,third_party
SC-908,presenter
SC-909,third_party_testimony
SC-910,third_party
SC-912,presenter
SC-913,third_party_testimony
SC-914,third_party
SC-916,presenter
SC-917,third_party_testimony
SC-918,third_party
SC-920,presenter
SC-921,third_party_testimony
SC-922,third_party
SC-924,presenter
SC-925,third_party_testimony
SC-926,third_party
SC-928,presenter
SC-929,third_party_testimony
SC-930,third_party
SC-932,presenter
SC-933,third_party_testimony
SC-934,third_party
SC-936,presenter
SC-937,presenter
SC-938,presenter
SC-939,presenter
SC-940,presenter
SC-941,presenter
SC-942,presenter
SC-943,presenter
SC-944,presenter
SC-945,presenter
SC-946,presenter
SC-947,presenter
SC-948,presenter
SC-949,presenter
SC-950,presenter
SC-951,presenter
SC-952,presenter
SC-953,presenter
SC-954,presenter
SC-955,presenter
SC-956,presenter
SC-957,presenter
SC-958,presenter
SC-959,presenter
SC-960,presenter
SC-961,presenter
SC-962,presenter
SC-963,presenter
SC-964,presenter
SC-965,presenter
SC-966,presenter
SC-967,presenter
SC-968,presenter
SC-969,presenter
SC-970,presenter
SC-971,presenter
SC-972,presenter
SC-973,presenter
SC-974,presenter
SC-975,presenter
SC-976,presenter
SC-977,presenter
SC-978,presenter
SC-979,presenter
SC-980,presenter
SC-981,presenter
SC-982,presenter
SC-983,presenter
SC-984,presenter
SC-985,presenter
SC-986,presenter
SC-987,presenter
SC-988,presenter
SC-989,presenter
SC-990,presenter
SC-991,presenter
SC-992,presenter
SC-993,presenter
SC-994,presenter
SC-995,presenter
SC-996,presenter
SC-997,presenter
SC-998,presenter
SC-999,presenter
SC-1000,presenter
SC-1001,presenter
SC-1002,presenter
SC-1003,presenter
SC-1004,presenter
SC-1005,presenter
SC-1006,presenter
SC-1007,presenter
SC-1008,presenter
SC-1009,presenter
SC-1010,presenter
SC-1011,presenter
SC-1012,presenter
SC-1013,presenter
SC-1014,presenter
SC-1015,presenter
SC-1016,presenter
SC-1017,presenter
SC-1018,presenter
SC-1019,presenter
SC-1020,presenter
SC-1021,presenter
SC-1022,presenter
SC-1023,presenter
SC-1024,presenter
SC-1025,presenter
SC-1026,presenter
SC-1027,presenter
SC-1028,presenter
SC-1029,presenter
SC-1030,presenter
SC-1031,presenter
SC-1032,presenter
SC-1033,presenter
SC-1034,presenter
SC-1035,presenter
SC-1036,presenter
SC-1037,presenter
SC-1038,presenter
SC-1039,presenter
SC-1040,presenter
SC-1041,presenter
SC-1042,presenter
SC-1043,presenter
SC-1044,presenter
SC-1045,presenter
SC-1046,presenter
SC-1047,presenter
SC-1048,presenter
SC-1049,presenter
SC-1050,presenter
SC-1051,presenter
SC-1052,presenter
SC-1053,presenter
SC-1054,presenter
SC-1055,presenter
SC-1056,presenter
SC-1057,presenter
SC-1058,presenter
SC-1059,presenter
SC-1060,presenter
SC-1061,presenter
SC-1062,presenter
SC-1063,presenter
SC-1064,presenter
SC-1065,presenter
SC-1066,presenter
SC-1067,presenter
SC-1068,presenter
SC-1069,presenter
SC-1070,presenter
SC-1071,presenter
SC-1072,presenter
SC-1073,presenter
SC-1074,presenter
SC-1075,presenter
SC-1076,presenter
SC-1077,presenter
SC-1078,presenter
SC-1079,presenter
SC-1080,presenter
SC-1081,presenter
SC-1082,presenter
SC-1083,presenter
SC-1084,presenter
SC-1085,presenter
SC-1086,presenter
SC-1087,presenter
SC-1088,presenter
SC-1089,presenter
SC-1090,presenter
SC-1091,presenter
SC-1092,presenter
SC-1093,presenter
SC-1094,presenter
SC-1095,presenter
SC-1096,presenter
SC-1097,presenter
SC-1098,presenter
SC-1099,presenter
SC-1100,presenter
SC-1101,presenter
SC-1102,presenter
SC-1103,presenter
SC-1104,presenter
SC-1105,presenter
SC-1106,presenter
SC-1107,presenter
SC-1108,presenter
SC-1109,presenter
SC-1110,presenter
SC-1111,presenter
SC-1112,presenter
SC-1113,presenter
SC-1114,presenter
SC-1115,presenter
SC-1116,presenter
SC-1117,presenter
SC-1118,presenter
SC-1119,presenter
SC-1120,presenter
SC-1121,presenter
SC-1122,presenter
SC-1123,presenter
SC-1124,presenter
SC-1125,presenter
SC-1126,presenter
SC-1127,presenter
SC-1128,presenter
SC-1129,presenter
SC-1130,presenter
SC-1131,presenter
SC-1132,presenter
SC-1133,presenter
SC-1134,presenter
SC-1135,presenter
SC-1136,presenter
SC-1137,presenter
SC-1138,presenter
SC-1139,presenter
SC-1140,presenter
SC-1141,presenter
SC-1142,presenter
SC-1143,presenter
SC-1144,presenter
SC-1145,presenter
SC-1146,presenter
SC-1147,presenter
SC-1148,presenter
SC-1149,presenter
SC-1150,presenter
SC-1151,presenter
SC-1152,presenter
SC-1153,presenter
SC-1154,presenter
SC-1155,presenter
SC-1156,presenter
SC-1157,presenter
SC-1158,presenter
SC-1159,presenter
SC-1160,presenter
SC-1161,presenter
SC-1162,presenter
SC-1163,presenter
SC-1164,presenter
SC-1165,presenter
SC-1166,presenter
SC-1167,presenter
SC-1168,presenter
SC-1169,presenter
SC-1170,presenter
SC-1171,presenter
SC-1172,presenter
SC-1173,presenter
SC-1174,presenter
SC-1175,presenter
SC-1176,presenter
SC-1177,presenter
SC-1178,presenter
SC-1179,presenter
SC-1180,presenter
SC-1181,presenter
SC-1182,presenter
SC-1183,presenter
SC-1184,presenter
SC-1185,presenter
SC-1186,presenter
SC-1187,presenter
SC-1188,presenter
SC-1189,presenter
SC-1190,presenter
SC-1191,presenter
SC-1192,presenter
SC-1193,presenter
SC-1194,presenter
SC-1195,presenter
SC-1196,presenter
SC-1197,presenter
SC-1198,presenter
SC-1199,presenter
SC-1200,presenter
SC-1201,presenter
SC-1202,presenter
SC-1203,presenter
SC-1204,presenter
SC-1205,presenter
SC-1206,presenter
SC-1207,presenter
SC-1208,presenter
SC-1209,presenter
SC-1210,presenter
SC-1211,presenter
SC-1212,presenter
SC-1213,presenter
SC-1214,presenter
SC-1215,presenter
SC-1216,presenter
SC-1217,presenter
SC-1218,third_party_testimony
SC-1219,third_party
SC-1220,presenter
SC-1221,presenter
SC-1222,third_party_testimony
SC-1223,third_party
SC-1224,presenter
SC-1225,presenter
SC-1226,third_party_testimony
SC-1227,third_party
SC-1228,presenter
SC-1229,presenter
SC-1230,third_party_testimony
SC-1231,third_party
SC-1232,presenter
SC-1233,presenter
SC-1234,third_party_testimony
SC-1235,third_party
SC-1236,presenter
SC-1237,presenter
SC-1238,third_party_testimony
SC-1239,third_party
SC-1240,presenter
SC-1241,presenter
SC-1242,third_party_testimony
SC-1243,third_party
SC-1244,presenter
SC-1245,presenter
SC-1246,third_party_testimony
SC-1247,third_party
SC-1248,presenter
SC-1249,presenter
SC-1250,third_party_testimony
SC-1251,third_party
SC-1252,presenter
SC-1253,presenter
SC-1254,third_party_testimony
SC-1255,third_party
SC-1256,presenter
SC-1257,presenter
SC-1258,third_party_testimony
SC-1259,third_party
SC-1260,presenter
SC-1261,presenter
SC-1262,third_party_testimony
SC-1263,third_party
SC-1264,presenter
SC-1265,presenter
SC-1266,third_party_testimony
SC-1267,third_party
SC-1268,presenter
SC-1269,presenter
SC-1270,third_party_testimony
SC-1271,third_party
SC-1272,presenter
SC-1273,presenter
SC-1274,third_party_testimony
SC-1275,third_party
SC-1276,presenter
SC-1277,presenter
SC-1278,third_party_testimony
SC-1279,third_party
SC-1280,presenter
SC-1281,presenter
SC-1282,third_party_testimony
SC-1283,third_party
SC-1284,presenter
SC-1285,presenter
SC-1286,third_party_testimony
SC-1287,third_party
SC-1288,presenter
SC-1289,presenter
SC-1290,third_party_testimony
SC-1291,third_party
SC-1292,presenter
SC-1293,presenter
SC-1294,third_party_testimony
SC-1295,third_party
SC-1296,presenter
SC-1297,presenter
SC-1298,third_party_testimony
SC-1299,third_party
SC-1300,presenter
SC-1301,presenter
SC-1302,third_party_testimony
SC-1303,third_party
SC-1304,presenter
SC-1305,presenter
SC-1306,third_party_testimony
SC-1307,third_party
SC-1308,presenter
SC-1309,presenter
SC-1310,third_party_testimony
SC-1311,third_party
SC-1312,presenter
SC-1313,presenter
SC-1314,third_party_testimony
SC-1315,third_party
SC-1316,presenter
SC-1317,presenter
SC-1318,third_party_testimony
SC-1319,third_party
SC-1320,presenter
SC-1321,presenter
SC-1322,third_party_testimony
SC-1323,third_party
SC-1324,presenter
SC-1325,presenter
SC-1326,third_party_testimony
SC-1327,third_party
SC-1328,presenter
SC-1329,presenter
SC-1330,third_party_testimony
SC-1331,third_party
SC-1332,presenter
SC-1333,presenter
SC-1334,third_party_testimony
SC-1335,third_party
SC-1336,presenter
SC-1337,presenter
SC-1338,third_party_testimony
SC-1339,third_party
SC-1340,presenter
SC-1341,presenter
SC-1342,third_party_testimony
SC-1343,third_party
SC-1344,presenter
SC-1345,presenter
SC-1346,third_party_testimony
SC-1347,third_party
SC-1348,presenter
SC-1349,presenter
SC-1350,third_party_testimony
SC-1351,third_party
SC-1352,presenter
SC-1353,presenter
SC-1354,third_party_testimony
SC-1355,third_party
SC-1356,presenter
SC-1357,presenter
SC-1358,third_party_testimony
SC-1359,third_party
SC-1360,presenter
SC-1361,presenter
SC-1362,third_party_testimony
SC-1363,third_party
SC-1364,presenter
SC-1365,presenter
SC-1366,third_party_testimony
SC-1367,third_party
SC-1368,presenter
SC-1369,presenter
SC-1370,third_party_testimony
SC-1371,third_party
SC-1372,presenter
SC-1373,presenter
SC-1374,third_party_testimony
SC-1375,third_party
SC-1376,presenter
SC-1377,presenter
SC-1378,third_party_testimony
SC-1379,third_party
SC-1380,presenter
SC-1381,presenter
SC-1382,third_party_testimony
SC-1383,third_party
SC-1384,presenter
SC-1385,presenter
SC-1386,third_party_testimony
SC-1387,third_party
SC-1388,presenter
SC-1389,presenter
SC-1390,third_party_testimony
SC-1391,third_party
SC-1392,presenter
SC-1393,presenter
SC-1394,third_party_testimony
SC-1395,third_party
SC-1396,presenter
SC-1397,presenter
SC-1398,third_party_testimony
SC-1399,third_party
SC-1400,presenter
SC-1401,presenter
SC-1402,third_party_testimony
SC-1403,third_party
SC-1404,presenter
SC-1405,presenter
SC-1406,third_party_testimony
SC-1407,third_party
SC-1408,presenter
SC-1409,presenter
SC-1410,third_party_testimony
SC-1411,third_party
SC-1412,presenter
SC-1413,presenter
SC-1414,third_party_testimony
SC-1415,third_party
SC-1416,presenter
SC-1417,presenter
SC-1418,third_party_testimony
SC-1419,third_party
SC-1420,presenter
SC-1421,presenter
SC-1422,third_party_testimony
SC-1423,third_party
SC-1424,presenter
SC-1425,presenter
SC-1426,third_party_testimony
SC-1427,third_party
SC-1428,presenter
SC-1429,presenter
SC-1430,third_party_testimony
SC-1431,third_party
SC-1432,presenter
SC-1433,presenter
SC-1434,third_party_testimony
SC-1435,third_party
SC-1436,presenter
SC-1437,presenter
SC-1438,third_party_testimony
SC-1439,third_party
SC-1440,presenter
SC-1441,presenter
SC-1442,third_party_testimony
SC-1443,third_party
SC-1444,presenter
SC-1445,presenter
SC-1446,third_party_testimony
SC-1447,third_party
SC-1448,presenter
SC-1449,presenter
SC-1450,third_party_testimony
SC-1451,third_party
SC-1452,presenter
SC-1453,presenter
SC-1454,third_party_testimony
SC-1455,third_party
SC-1456,presenter
SC-1457,presenter
SC-1458,third_party_testimony
SC-1459,third_party
