script_id,band
SC-972,standard
SC-973,standard
SC-974,standard
SC-975,standard
SC-976,standard
SC-977,standard
SC-978,standard
SC-979,standard
SC-980,standard
SC-981,standard
SC-982,standard
SC-983,standard
SC-984,standard
SC-985,standard
SC-986,standard
SC-987,standard
SC-988,standard
SC-989,standard
SC-990,standard
SC-991,standard
SC-992,standard
SC-993,standard
SC-994,standard
SC-995,standard
SC-996,standard
SC-997,standard
SC-998,standard
SC-999,standard
SC-1000,standard
SC-1001,standard
SC-1002,standard
SC-1003,standard
SC-1004,standard
SC-1005,standard
SC-1006,standard
SC-1007,standard
SC-1008,standard
SC-1009,standard
SC-1010,standard
SC-1011,standard
SC-1012,standard
SC-1013,standard
SC-1014,standard
SC-1015,standard
SC-1016,standard
SC-1017,standard
SC-1018,standard
SC-1019,standard
SC-1020,standard
SC-1021,standard
SC-1022,standard
SC-1023,standard
SC-1024,standard
SC-1025,standard
SC-1026,standard
SC-1027,standard
SC-1028,standard
SC-1029,standard
SC-1030,standard
SC-1031,standard
SC-1032,standard
SC-1033,standard
SC-1034,standard
SC-1035,standard
SC-1036,standard
SC-1037,standard
SC-1038,standard
SC-1039,standard
SC-1040,standard
SC-1041,standard
SC-1042,standard
SC-1043,standard
SC-1044,standard
SC-1045,standard
SC-1046,standard
SC-1047,standard
SC-1048,standard
SC-1049,standard
SC-1050,standard
SC-1051,standard
SC-1052,standard
SC-1053,standard
SC-1054,standard
SC-1055,standard
SC-1056,standard
SC-1057,standard
SC-1058,standard
SC-1059,standard
SC-1060,standard
SC-1061,standard
SC-1062,standard
SC-1063,standard
SC-1064,standard
SC-1065,standard
SC-1066,standard
SC-1067,standard
SC-1068,standard
SC-1069,standard
SC-1070,standard
SC-1071,standard
SC-1072,standard
SC-1073,standard
SC-1074,standard
SC-1075,standard
SC-1076,standard
SC-1077,standard
SC-1078,standard
SC-1079,standard
SC-1080,standard
SC-1081,standard
SC-1082,standard
SC-1083,standard
SC-1084,standard
SC-1085,standard
SC-1086,standard
SC-1087,standard
SC-1088,standard
SC-1089,standard
SC-1090,standard
SC-1091,standard
SC-1092,standard
SC-1093,standard
SC-1094,standard
SC-1095,standard
SC-1096,standard
SC-1097,standard
SC-1098,standard
SC-1099,standard
SC-1100,standard
SC-1101,standard
SC-1102,standard
SC-1103,standard
SC-1104,standard
SC-1105,standard
SC-1106,standard
SC-1107,standard
SC-1108,standard
SC-1109,standard
SC-1110,standard
SC-1111,standard
SC-1112,standard
SC-1113,standard
SC-1114,standard
SC-1115,standard
SC-1116,standard
SC-1117,standard
SC-1118,standard
SC-1119,standard
SC-1120,standard
SC-1121,standard
SC-1122,standard
SC-1123,standard
SC-1124,standard
SC-1125,standard
SC-1126,standard
SC-1127,standard
SC-1128,standard
SC-1129,standard
SC-1130,standard
SC-1131,standard
SC-1132,standard
SC-1133,standard
SC-1134,standard
SC-1135,standard
SC-1136,standard
SC-1137,standard
SC-1138,standard
SC-1139,standard
SC-1140,standard
SC-1141,standard
SC-1142,standard
SC-1143,standard
SC-1144,standard
SC-1145,standard
SC-1146,standard
SC-1147,standard
SC-1148,standard
SC-1149,standard
SC-1150,standard
SC-1151,standard
SC-1152,standard
SC-1153,standard
SC-1154,standard
SC-1155,standard
SC-1156,standard
SC-1157,standard
SC-1158,standard
SC-1159,standard
SC-1160,standard
SC-1161,standard
SC-1162,standard
SC-1163,standard
SC-1164,standard
SC-1165,standard
SC-1166,standard
SC-1167,standard
SC-1168,standard
SC-1169,standard
SC-1170,standard
SC-1171,standard
SC-1172,standard
SC-1173,standard
SC-1174,standard
SC-1175,standard
SC-1176,standard
SC-1177,standard
SC-1178,standard
SC-1179,standard
SC-1180,standard
SC-1181,standard
SC-1182,standard
SC-1183,standard
SC-1184,standard
SC-1185,standard
SC-1186,standard
SC-1187,standard
SC-1188,standard
SC-1189,standard
SC-1190,standard
SC-1191,standard
SC-1192,standard
SC-1193,standard
SC-1194,standard
SC-1195,standard
SC-1196,standard
SC-1197,standard
SC-1198,standard
SC-1199,standard
SC-1200,standard
SC-1201,standard
SC-1202,standard
SC-1203,standard
SC-1204,standard
SC-1205,standard
SC-1206,standard
SC-1207,standard
SC-1208,standard
SC-1209,standard
SC-1210,standard
SC-1211,standard
SC-1212,standard
SC-1213,standard
SC-1214,standard
SC-1215,standard
SC-1216,standard
SC-1217,standard
SC-1218,standard
SC-1219,standard
SC-1220,standard
SC-1221,standard
SC-1222,standard
SC-1223,standard
SC-1224,standard
SC-1225,standard
SC-1226,standard
SC-1227,standard
SC-1228,standard
SC-1229,standard
SC-1230,standard
SC-1231,standard
SC-1232,standard
SC-1233,standard
SC-1234,standard
SC-1235,standard
SC-1236,standard
SC-1237,standard
SC-1238,standard
SC-1239,standard
SC-1240,standard
SC-1241,standard
SC-1242,standard
SC-1243,standard
SC-1244,standard
SC-1245,standard
SC-1246,standard
SC-1247,standard
SC-1248,standard
SC-1249,standard
SC-1250,standard
SC-1251,standard
SC-1252,standard
SC-1253,standard
SC-1254,standard
SC-1255,standard
SC-1256,standard
SC-1257,standard
SC-1258,standard
SC-1259,standard
SC-1260,standard
SC-1261,standard
SC-1262,standard
SC-1263,standard
SC-1264,standard
SC-1265,standard
SC-1266,standard
SC-1267,standard
SC-1268,standard
SC-1269,standard
SC-1270,standard
SC-1271,standard
SC-1272,standard
SC-1273,standard
SC-1274,standard
SC-1275,standard
SC-1276,standard
SC-1277,standard
SC-1278,standard
SC-1279,standard
SC-1280,standard
SC-1281,standard
SC-1282,standard
SC-1283,standard
SC-1284,standard
SC-1285,standard
SC-1286,standard
SC-1287,standard
SC-1288,standard
SC-1289,standard
SC-1290,standard
SC-1291,standard
SC-1292,standard
SC-1293,standard
SC-1294,standard
SC-1295,standard
SC-1296,standard
SC-1297,standard
SC-1298,standard
SC-1299,standard
SC-1300,standard
SC-1301,standard
SC-1302,standard
SC-1303,standard
SC-1304,standard
SC-1305,standard
SC-1306,standard
SC-1307,standard
SC-1308,standard
SC-1309,standard
SC-1310,standard
SC-1311,standard
SC-1312,standard
SC-1313,standard
SC-1314,standard
SC-1315,standard
SC-1316,standard
SC-1317,standard
SC-1318,standard
SC-1319,standard
SC-1320,standard
SC-1321,standard
SC-1322,standard
SC-1323,standard
SC-1324,standard
SC-1325,standard
SC-1326,standard
SC-1327,standard
SC-1328,standard
SC-1329,standard
SC-1330,standard
SC-1331,standard
SC-1332,standard
SC-1333,standard
SC-1334,standard
SC-1335,standard
SC-1336,standard
SC-1337,standard
SC-1338,standard
SC-1339,standard
SC-1340,standard
SC-1341,standard
SC-1342,standard
SC-1343,standard
SC-1344,standard
SC-1345,standard
SC-1346,standard
SC-1347,standard
SC-1348,standard
SC-1349,standard
SC-1350,standard
SC-1351,standard
SC-1352,standard
SC-1353,standard
SC-1354,standard
SC-1355,standard
SC-1356,standard
SC-1357,standard
SC-1358,standard
SC-1359,standard
SC-1360,standard
SC-1361,standard
SC-1362,standard
SC-1363,standard
SC-1364,standard
SC-1365,standard
SC-1366,standard
SC-1367,standard
SC-1368,standard
SC-1369,standard
SC-1370,standard
SC-1371,standard
SC-1372,standard
SC-1373,standard
SC-1374,standard
SC-1375,standard
SC-1376,standard
SC-1377,standard
SC-1378,standard
SC-1379,standard
SC-1380,standard
SC-1381,standard
SC-1382,standard
SC-1383,standard
SC-1384,standard
SC-1385,standard
SC-1386,standard
SC-1387,standard
SC-1388,standard
SC-1389,standard
SC-1390,standard
SC-1391,standard
SC-1392,standard
SC-1393,standard
SC-1394,standard
SC-1395,standard
SC-1396,standard
SC-1397,standard
SC-1398,standard
SC-1399,standard
SC-1400,standard
SC-1401,standard
SC-1402,standard
SC-1403,standard
SC-1404,standard
SC-1405,standard
SC-1406,standard
SC-1407,standard
SC-1408,standard
SC-1409,standard
SC-1410,standard
SC-1411,standard
SC-1412,standard
SC-1413,standard
SC-1414,standard
SC-1415,standard
SC-1416,standard
SC-1417,standard
SC-1418,standard
SC-1419,standard
SC-1420,standard
SC-1421,standard
SC-1422,standard
SC-1423,standard
SC-1424,standard
SC-1425,standard
SC-1426,standard
SC-1427,standard
SC-1428,standard
SC-1429,standard
SC-1430,standard
SC-1431,standard
SC-1432,standard
SC-1433,standard
SC-1434,standard
SC-1435,standard
SC-1436,standard
SC-1437,standard
SC-1438,standard
SC-1439,standard
SC-1440,standard
SC-1441,standard
SC-1442,standard
SC-1443,standard
SC-1444,standard
SC-1445,standard
SC-1446,standard
SC-1447,standard
SC-1448,standard
SC-1449,standard
SC-1450,standard
SC-1451,standard
SC-1452,standard
SC-1453,standard
SC-1454,standard
SC-1455,standard
SC-1456,standard
SC-1457,standard
SC-1458,standard
SC-1459,standard
SC-1460,standard
SC-1461,standard
SC-1462,standard
SC-1463,standard
SC-1464,standard
SC-1465,standard
SC-1466,standard
SC-1467,standard
SC-1468,standard
SC-1469,standard
SC-1470,standard
SC-1471,standard
SC-1472,standard
SC-1473,standard
SC-1474,standard
SC-1475,standard
SC-1476,standard
SC-1477,standard
SC-1478,standard
SC-1479,standard
SC-1480,standard
SC-1481,standard
SC-1482,standard
SC-1483,standard
SC-1484,standard
SC-1485,standard
SC-1486,standard
SC-1487,standard
SC-1488,standard
SC-1489,standard
SC-1490,standard
SC-1491,standard
SC-1492,standard
SC-1493,standard
SC-1494,standard
SC-1495,standard
SC-1496,standard
SC-1497,standard
SC-1498,standard
SC-1499,standard
SC-1500,standard
SC-1501,standard
SC-1502,standard
SC-1503,standard
SC-1504,standard
SC-1505,standard
SC-1506,standard
SC-1507,standard
SC-1508,standard
SC-1509,standard
SC-1510,standard
SC-1511,standard
SC-1512,standard
SC-1513,standard
SC-1514,standard
SC-1515,standard
SC-1516,standard
SC-1517,standard
SC-1518,standard
SC-1519,standard
SC-1520,standard
SC-1521,standard
SC-1522,standard
SC-1523,standard
SC-1524,standard
SC-1525,standard
SC-1526,standard
SC-1527,standard
SC-1528,standard
SC-1529,standard
SC-1530,standard
SC-1531,standard
SC-1532,standard
SC-1533,standard
SC-1534,standard
SC-1535,standard
SC-1536,standard
SC-1537,standard
SC-1538,standard
SC-1539,standard
SC-1540,standard
SC-1541,standard
SC-1542,standard
SC-1543,standard
SC-1544,standard
SC-1545,standard
SC-1546,standard
SC-1547,standard
SC-1548,standard
SC-1549,standard
SC-1550,standard
SC-1551,standard
SC-1552,standard
SC-1553,standard
SC-1554,standard
SC-1555,standard
SC-1556,standard
SC-1557,standard
SC-1558,standard
SC-1559,standard
SC-1560,standard
SC-1561,standard
SC-1562,standard
SC-1563,standard
SC-1564,standard
SC-1565,standard
SC-1566,standard
SC-1567,standard
SC-1568,standard
SC-1569,standard
SC-1570,standard
SC-1571,standard
SC-1572,standard
SC-1573,standard
SC-1574,standard
SC-1575,standard
SC-1576,standard
SC-1577,standard
SC-1578,standard
SC-1579,standard
SC-1580,standard
SC-1581,standard
SC-1582,standard
SC-1583,standard
SC-1584,standard
SC-1585,standard
SC-1586,standard
SC-1587,standard
SC-1588,standard
SC-1589,standard
SC-1590,standard
SC-1591,standard
SC-1592,standard
SC-1593,standard
SC-1594,standard
SC-1595,standard
SC-1596,standard
SC-1597,standard
SC-1598,standard
SC-1599,standard
SC-1600,standard
SC-1601,standard
SC-1602,standard
SC-1603,standard
SC-1604,standard
SC-1605,standard
SC-1606,standard
SC-1607,standard
SC-1608,standard
SC-1609,standard
SC-1610,standard
SC-1611,standard
SC-1612,standard
SC-1613,standard
SC-1614,standard
SC-1615,standard
SC-1616,standard
SC-1617,standard
SC-1618,standard
SC-1619,standard
SC-1620,standard
SC-1621,standard
SC-1622,standard
SC-1623,standard
SC-1624,standard
SC-1625,standard
SC-1626,standard
SC-1627,standard
SC-1628,standard
SC-1629,standard
SC-1630,standard
SC-1631,standard
SC-1632,standard
SC-1633,standard
SC-1634,standard
SC-1635,standard
SC-1636,standard
SC-1637,standard
SC-1638,standard
SC-1639,standard
SC-1640,standard
SC-1641,standard
SC-1642,standard
SC-1643,standard
SC-1644,standard
SC-1645,standard
SC-1646,standard
SC-1647,standard
SC-1648,standard
SC-1649,standard
SC-1650,standard
SC-1651,standard
SC-1652,standard
SC-1653,standard
SC-1654,standard
SC-1655,standard
SC-1656,standard
SC-1657,standard
SC-1658,standard
SC-1659,standard
SC-1660,standard
SC-1661,standard
SC-1662,standard
SC-1663,standard
SC-1664,standard
SC-1665,standard
SC-1666,standard
SC-1667,standard
SC-1668,standard
SC-1669,standard
SC-1670,standard
SC-1671,standard
SC-1672,standard
SC-1673,standard
SC-1674,standard
SC-1675,standard
