ledger_ref,channel_id,campaign_week,placement_id,delivered_reach,delivered_streams
LG-1303,CH-13,W4,PL-13003,20030,1500
LG-1401,CH-14,W1,PL-14001,30000,1300
LG-1402,CH-14,W1,PL-14001,10000,500
LG-1403,CH-14,W1,PL-14002,10000,400
LG-1404,CH-14,W2,PL-14003,10000,400
LG-1501,CH-15,W1,PL-15001,50000,1800
LG-1502,CH-15,W2,PL-15002,48000,1700
LG-1503,CH-15,W4,PL-15003,52000,1900
LG-1504,CH-15,,PL-15001,30000,1200
LG-1601,CH-16,W1,PL-16001,70000,3500
LG-1602,CH-16,W2,PL-16002,65000,3200
LG-1603,CH-16,W4,PL-16003,60000,2800
LG-1604,CH-16,W1,,10000,500
LG-1701,CH-17,W1,PL-17001,45000,1700
LG-1702,CH-17,W2,PL-17002,40000,1500
LG-1703,CH-17,W4,PL-1001,20000,800
LG-18001,CH-18,W1,PL-18001,55000,2700
LG-18002,CH-18,W4,PL-18002,58000,2900
LG-19001,CH-19,W1,PL-19001,35000,1500
LG-19002,CH-19,W2,PL-19002,38000,1600
LG-20001,CH-20,W1,PL-20001,45000,1800
LG-20002,CH-20,W2,PL-20002,40000,-3500
LG-20003,CH-20,W1,PL-19001,30000,1200
LG-21001,CH-21,W1,PL-21001,0,0
LG-21002,CH-21,W2,PL-21002,0,0
LG-21003,CH-21,W2,,10000,400
LG-22001,CH-22,W1,PL-22001,40000,1600
LG-22002,CH-22,W6,PL-22002,35000,1400
LG-22003,CH-22,W2,,5000,100
LG-23001,CH-23,W1,PL-23001,50000,2000
LG-23002,CH-23,W1,PL-23001,0,-500
LG-23003,CH-23,W2,PL-23002,45000,1800
LG-24001,CH-24,W1,PL-24001,25000,1000
LG-24002,CH-24,W1,PL-24002,28000,1100
LG-24003,CH-24,W2,PL-24003,30000,1200
LG-25001,CH-25,W1,PL-25001,40000,1600
LG-25002,CH-25,W2,PL-25002,38000,1500
LG-25003,CH-25,W4,PL-5009,20000,3000
LG-26001,CH-26,W1,PL-26001,35000,1500
LG-26002,CH-26,W2,PL-26002,32000,1400
LG-27001,CH-27,W1,PL-27001,35000,1700
LG-27002,CH-27,W2,PL-27002,35003,1750
LG-28001,CH-28,W1,PL-28001,30000,1200
LG-28002,CH-28,W2,PL-28002,25000,1000
LG-28003,CH-28,W4,,10000,200
LG-29001,CH-29,W1,,40000,1600
LG-29002,CH-29,W2,,35000,1400
LG-31001,CH-31,W1,PL-31001,25000,1200.5
LG-31002,CH-31,W2,PL-31002,25000,1700.5
LG-32001,CH-32,W1,PL-32001,20000.5,800
LG-32002,CH-32,W2,PL-32002,20000.5,800
LG-33001,CH-33,W1,PL-33001,40000,1600
LG-33002,CH-33,W2,PL-33002,40000,1600
LG-34001,CH-34,W1,PL-34001,50000,2000
LG-34002,CH-34,W7,PL-34002,50000,2200
LG-35001,CH-35,W1,PL-35001,35000,1400
LG-35002,CH-35,W3,PL-35002,35000,1500
LG-35003,CH-35,W2,,10000,400
LG-37001,CH-37,W1,PL-37001,45000,1800
LG-37002,CH-37,W2,PL-37002,40000,-600.5
LG-38001,CH-38,W1,PL-38001,50000,2000
LG-38002,CH-38,W2,PL-38002,40000,0.5
LG-39001,CH-39,W1,PL-39001,500,499
LG-39002,CH-39,W2,PL-39002,499,500
LG-42001,CH-42,W1,PL-42001,40000,0
LG-42002,CH-42,W2,PL-42002,40000,1600
LG-44001,CH-44,W1,PL-44001,20000,800
LG-44001,CH-44,W2,PL-44002,20000,800
LG-45001,CH-45,W1,PL-45001,45000,1800
LG-45002,CH-45,W2,PL-45002,40000,1600
LG-45003,CH-45,W1,,10000,400
LG-33003,CH-33,W2,,5000,100
LG-39003,CH-39,W2,,1000,500
LG-42003,CH-42,W2,,5000,100
LG-46004,CH-46,W5,,5000,200
LG-48004,CH-48,W5,,3000,100
LG-46005,CH-46,W7,,8000,400
LG-46001,CH-46,W1,PL-46001,25000,1000
LG-46002,CH-46,W4,PL-46001,25000,1000
LG-46003,CH-46,W2,PL-46002,20000,800
LG-47001,CH-47,W1,PL-47001,20000,900
LG-47002,CH-47,W1,PL-47001,15000,700
LG-47003,CH-47,W2,PL-47002,18000,800
LG-48001,CH-48,W1,PL-48001,22000,880
LG-48002,CH-48,W2,PL-48002,20000,800
LG-48003,CH-48,W4,PL-4999,15000,600
LG-49001,CH-49,W7,PL-49001,30000,1400
LG-49002,CH-49,W7,PL-49002,28000,1200
LG-50001,CH-50,W1,PL-50001,35000,1400
LG-50002,CH-50,W1,PL-50002,40000,5000
LG-50003,CH-50,W2,PL-50003,30000,1100
LG-51001,CH-51,W1,PL-51001,25000,1000
LG-51002,CH-51,W2,PL-51002,20000,800
LG-51003,CH-51,W4,NULL,18000,900
LG-51004,CH-51,W5,N/A,5000,-200
LG-52001,CH-52,W1,PL-52001,30000,3000
LG-52002,CH-52,W2,PL-52002,28000,2000
LG-52003,CH-52,W4,,0,-3000
LG-53001,CH-53,W1,PL-53001,25000.5,1200.5
LG-53002,CH-53,W2,PL-53002,24999.5,1799.5
LG-54001,CH-54,W4,PL-54001,25000,1000
LG-54002,CH-54,W1,PL-54002,26000,1100
LG-55001,CH-55,W1,PL-55001,20000,800
LG-55002,CH-55,W2,PL-55001,20000,800
LG-56001,CH-56,W1,PL-56001,0,2000
LG-56002,CH-56,W2,PL-56002,30000,1000
LG-57001,CH-57,W1,PL-57001,50000,2000
LG-57002,CH-57,W2,PL-57002,50000,2000
LG-57003,CH-57,W4,PL-57099,30000,4000
LG-58001,CH-58,W1,PL-58001,60000,3000
LG-58002,CH-58,W2,PL-58002,60000,3000
LG-58003,CH-58,W4,,0,-500
