placement_id,channel_id,planned_week,ran_week,placement_status,offer_type
PL-14003,CH-14,W2,W2,ran,playlist_seed
PL-15001,CH-15,W1,W1,ran,street_team
PL-15002,CH-15,W2,W2,ran,street_team
PL-16001,CH-16,W1,W1,ran,guaranteed_streams
PL-16002,CH-16,W2,W2,ran,guaranteed_streams
PL-16003,CH-16,W4,W4,ran,guaranteed_streams
PL-17001,CH-17,W1,W1,ran,cross_test
PL-17002,CH-17,W2,W2,ran,cross_test
PL-18001,CH-18,W1,W1,ran,week_test
PL-18002,CH-18,W2,W2,ran,week_test
PL-19001,CH-19,W1,W1,ran,dup_test
PL-19002,CH-19,W2,W2,ran,dup_test
PL-20001,CH-20,W1,W1,ran,neg_test
PL-20002,CH-20,W2,W2,ran,neg_test
PL-19001,CH-20,W1,W1,ran,dup_test
PL-21001,CH-21,W1,W1,ran,zero_test
PL-21002,CH-21,W2,W2,ran,zero_test
PL-22001,CH-22,W1,W1,ran,w6_test
PL-22002,CH-22,W2,W2,ran,w6_test
PL-23001,CH-23,W1,W1,ran,flip_test
PL-23002,CH-23,W2,W2,ran,flip_test
PL-24001,CH-24,W1,W1,ran,over_test
PL-24002,CH-24,W1,W1,ran,over_test
PL-24003,CH-24,W2,W2,ran,over_test
PL-25001,CH-25,W1,W1,ran,gphantom_test
PL-25002,CH-25,W2,W2,ran,gphantom_test
PL-26001,CH-26,W1,W1,ran,blank_test
PL-26002,CH-26,W2,,ran,blank_test
PL-27001,CH-27,W1,W1,ran,float_test
PL-27002,CH-27,W2,W2,ran,float_test
PL-28001,CH-28,W1,W1,ran,zreach_test
PL-28002,CH-28,W2,W2,ran,zreach_test
PL-29001,CH-29,W1,W1,ran,allorg_test
PL-29002,CH-29,W2,,cancelled,allorg_test
PL-31001,CH-31,W1,W1,ran,frac_test
PL-31002,CH-31,W2,W2,ran,frac_test
PL-32001,CH-32,W1,W1,ran,fracr_test
PL-32002,CH-32,W2,W2,ran,fracr_test
PL-33001,CH-33,W1,W1,completed,comp_test
PL-33002,CH-33,W2,W2,ran,comp_test
PL-34001,CH-34,W1,W1,ran,w7_test
PL-34002,CH-34,W2,W2,ran,w7_test
PL-35001,CH-35,W1,W1,ran,w3_test
PL-35002,CH-35,W2,W2,ran,w3_test
PL-37001,CH-37,W1,W1,ran,negfrac_test
PL-37002,CH-37,W2,W2,ran,negfrac_test
PL-38001,CH-38,W1,W1,ran,tiny_test
PL-38002,CH-38,W2,W2,ran,tiny_test
PL-39001,CH-39,W1,W1,ran,tiny2_test
PL-39002,CH-39,W2,W2,ran,tiny2_test
PL-42001,CH-42,W1,W1,ran,reachnos_test
PL-42002,CH-42,W2,W2,ran,reachnos_test
PL-44001,CH-44,W1,W1,ran,dupref_test
PL-44002,CH-44,W2,W2,ran,dupref_test
PL-45001,CH-45,W1,W1,ran,guaranteed_streams
PL-45002,CH-45,W2,W2,ran,guaranteed_streams
PL-46001,CH-46,W1,W1,ran,week_test
PL-46002,CH-46,W2,W2,ran,week_test
PL-47001,CH-47,W1,W1,ran,dup_test
PL-47002,CH-47,W2,W2,ran,dup_test
PL-48001,CH-48,W1,W1,ran,phantom_test
PL-48002,CH-48,W2,W2,ran,phantom_test
PL-49001,CH-49,W1,W7,ran,late_test
PL-49002,CH-49,W2,W7,ran,late_test
PL-50001,CH-50,W1,W1,ran,
PL-50002,CH-50,W1,W1,ran,guaranteed_streams
PL-50003,CH-50,W2,W2,ran,
PL-51001,CH-51,W1,W1,ran,null_test
PL-51002,CH-51,W2,W2,ran,null_test
PL-52001,CH-52,W1,W1,ran,flip_test
PL-52002,CH-52,W2,W2,ran,flip_test
PL-53001,CH-53,W1,W1,ran,frac_test
PL-53002,CH-53,W2,W2,ran,frac_test
PL-54001,CH-54,W3,W4,ran,slip_test
PL-54002,CH-54,W1,W1,ran,slip_test
PL-55001,CH-55,W1,W1,ran,repeat_test
PL-55002,CH-55,W2,W2,ran,repeat_test
PL-56001,CH-56,W1,W1,ran,streamonly_test
PL-56002,CH-56,W2,W2,ran,streamonly_test
PL-57001,CH-57,W1,W1,ran,ontarget_test
PL-57002,CH-57,W2,W2,ran,ontarget_test
PL-57099,CH-57,W4,W4,ran,guaranteed_streams
PL-58001,CH-58,W1,W1,ran,over_test
PL-58002,CH-58,W2,W2,ran,over_test
PL-591,CH-59,W1,W1,ran,promotional
PL-592,CH-59,W4,W4,ran,promotional
PL-593,CH-59,W5,W5,ran,promotional
PL-601,CH-60,W1,W1,ran,promotional
PL-602,CH-60,W1,W1,ran,promotional
PL-GUAR-60,CH-01,W1,W1,ran,guaranteed_streams
PL-6101,CH-61,W1,W1,ran,promotional
PL-6102,CH-61,W2,W2,ran,promotional
PL-6103,CH-61,W4,W4,ran,promotional
PL-6104,CH-61,W7,W7,ran,promotional
PL-6201,CH-62,W1,W1,ran,promotional
PL-6202,CH-62,W2,W2,ran,promotional
PL-6203,CH-62,W2,W3,ran,promotional
PL-80001,CH-63,W1,W1,ran,promotional
PL-80002,CH-63,W1,W3,ran,promotional
PL-80003,CH-64,W1,W1,ran,promotional
PL-80004,CH-64,W1,W3,ran,promotional
PL-80005,CH-65,W1,W1,ran,promotional
PL-80006,CH-65,W1,W3,ran,promotional
PL-80007,CH-66,W1,W1,ran,promotional
PL-80008,CH-66,W1,W3,ran,promotional
PL-80009,CH-67,W1,W1,ran,promotional
PL-80010,CH-67,W1,W3,ran,promotional
PL-80011,CH-68,W1,W1,ran,promotional
PL-80012,CH-68,W1,W3,ran,promotional
PL-80013,CH-69,W1,W1,ran,promotional
PL-80014,CH-69,W1,W3,ran,promotional
PL-80015,CH-70,W1,W1,ran,promotional
PL-80016,CH-70,W1,W3,ran,promotional
PL-80017,CH-71,W4,W4,ran,promotional
PL-80018,CH-72,W4,W4,ran,promotional
PL-80019,CH-73,W4,W4,ran,promotional
PL-80020,CH-74,W4,W4,ran,promotional
PL-75001,CH-75,W1,W1,ran,partnership
PL-75002,CH-75,W1,W1,ran,promotional
