table_name,size_class,total_pages,dead_pages,bloat_ratio,autovacuum_enabled,vacuum_type,audit_date,last_analyzed,days_since_analyze,maintenance_active
T-63,large,1000,180,0.18,True,auto,2026-10-01,2026-08-02,99,False
T-64,large,1000,210,0.21,True,auto,2026-09-01,2026-08-02,0,False
T-65,large,1000,350,0.35,True,auto,2026-09-01,2026-08-24,8,True
T-66,large,1000,280,0.28,True,auto,2026-09-01,2026-08-23,9,True
T-67,large,1000,250,0.25,True,auto,2026-09-01,2026-08-27,5,True
T-68,large,1000,240,0.24,True,auto,2026-09-01,2026-08-26,6,True
T-69,large,1000,300,0.3,True,auto,2026-09-01,2026-08-25,7,True
T-70,large,1000,260,0.26,True,auto,2026-09-01,2026-08-25,7,True
T-71,large,1000,50,0.05,True,manual,2026-09-01,2026-08-28,4,False
T-72,large,1000,400,0.4,True,manual,2026-09-01,2026-07-13,0,False
T-73,small,600,50,0.08,False,auto,2026-09-01,2026-08-29,3,False
T-74,large,1000,500,0.5,False,auto,2026-09-01,2026-08-12,20,False
T-75,medium,800,168,0.21,True,auto,2026-09-01,2026-08-24,8,False
T-76,medium,450,185,0.4,True,auto,2026-09-01,2026-08-22,10,False
T-77,medium,450,180,0.4,True,auto,2026-09-01,2026-08-22,10,False
T-78,large,400,164,0.4,True,auto,2026-09-01,2026-08-23,9,False
T-79,large,399,163,0.4,True,auto,2026-09-01,2026-08-20,12,False
T-80,large,399,159,0.4,True,auto,2026-09-01,2026-08-20,12,False
T-81,large,1000,100,0.1,True,auto,2026-09-01,2026-07-23,5,False
T-82,large,1000,80,0.08,True,auto,2026-09-01,2026-07-08,0,False
T-83,large,1000,100,0.1,True,auto,2026-09-01,2026-08-27,55,False
T-84,large,1000,100,0.1,True,auto,2026-09-01,2026-08-20,12,False
T-84,large,1000,220,0.22,True,auto,2026-09-01,2026-08-20,12,False
T-85,large,1000,50,0.05,True,auto,2026-09-01,2026-08-18,14,False
T-85,large,1000,100,0.1,True,auto,2026-09-01,2026-08-18,14,False
T-85,large,1000,230,0.23,True,auto,2026-09-01,2026-08-18,14,False
T-86,large,1000,200,0.2,True,auto,2026-09-01,2026-07-23,40,False
T-86,large,1000,100,0.1,True,auto,2026-09-01,2026-08-27,5,False
T-87,large,400,144,0.36,True,auto,2026-09-01,2026-07-23,1,False
T-88,large,400,140,0.35,True,auto,2026-09-01,2026-07-23,1,False
T-89,medium,400,136,0.34,True,auto,2026-09-01,2026-07-22,2,False
T-90,large,1000,235,0.24,True,auto,2026-09-01,2026-08-26,6,False
T-91,large,1000,245,0.24,True,auto,2026-09-01,2026-08-26,6,False
T-92,large,1000,255,0.26,True,auto,2026-09-01,2026-08-26,6,False
T-93,large,1000,10,0.01,True,Manual,2026-09-01,2026-08-28,4,False
T-94,small,1000,200,0.2,True,auto,2026-09-01,2026-08-24,8,False
T-95,small,1000,201,0.2,True,auto,2026-09-01,2026-08-24,8,False
T-96,small,1000,205,0.2,True,auto,2026-09-01,2026-08-24,8,False
T-97,large,1000,140,0.14,True,auto,2025-09-01,2026-08-02,7,False
T-98,large,1000,150,0.15,True,auto,2026-09-01,2026-08-02,2,False
T-99,large,1000,160,0.16,True,auto,2026-09-01,2026-08-02,9,False
T-100,large,1000,190,0.19,True,auto,2026-09-01,2026-08-02,1,False
T-101,large,400,140,0.35,True,auto,2026-09-01,2026-08-02,0,False
T-102,medium,400,144,0.36,True,auto,2026-09-01,2026-08-02,3,False
T-103,large,1000,100,0.1,True,auto,2026-09-01,2026-08-02,5,False
T-104,large,1000,100,0.1,True,auto,2026-09-01,2026-08-03,40,False
T-105,large,1000,300,0.3,True,auto,2026-09-01,2026-08-24,8,True
T-106,large,1000,320,0.32,True,auto,2026-09-01,2026-08-23,9,True
T-107,large,1000,275,0.28,True,auto,2026-09-01,2026-08-26,6,False
T-108,large,499,207,0.41,True,auto,2026-09-01,2026-08-21,11,False
T-109,large,1000,20,0.02,True,MANUAL,2026-09-01,2026-08-27,5,False
T-110,large,1000,20,0.02,True,manual,2026-09-01,2026-08-27,5,False
T-111,large,1000,20,0.02,True,Manual ,2026-09-01,2026-08-26,6,False
T-112,large,1000,120,0.12,True,auto,2026-07-15,2026-07-23,2,False
T-113,large,1000,100,0.1,True,auto,2026-09-01,2026-07-23,2,False
T-114,large,1000,95,0.1,True,auto,2026-09-01,2026-07-23,1,False
T-115,large,1000,105,0.1,True,auto,2026-09-01,2026-07-28,3,False
T-116,large,400,148,0.37,True,auto,2026-09-01,2026-07-23,1,False
T-117,large,400,140,0.35,True,auto,2026-09-01,2026-07-23,1,False
T-118,large,1000,180,0.18,True,auto,2026-08-01,2026-08-02,1,False
T-119,large,1000,300,0.3,True,auto,2026-09-15,2026-08-25,7,True
T-120,large,1000,280,0.28,True,auto,2026-08-01,2026-08-24,8,True
T-121,large,1000,350,0.35,True,auto,2026-09-01,2026-08-27,5,False
T-122,large,1000,350,0.35,True,auto,2026-08-01,2026-07-23,2,False
T-123,large,1000,320,0.32,True,auto,2026-09-01,2026-08-26,6,False
T-124,large,1000,310,0.31,True,auto,2026-09-01,2026-08-25,7,False
T-125,large,1000,300,0.3,True,auto,2026-09-01,2026-08-24,8,False
T-126,large,1000,330,0.33,True,auto,2026-09-01,2026-08-28,4,False
T-127,large,1000,50,0.05,True,manual,2026-09-01,2026-08-29,3,False
T-128,large,1000,280,0.28,True,auto,2026-09-01,2026-07-18,0,False
T-129,large,1000,290,0.29,True,auto,2026-09-01,2026-08-27,5,False
T-130,medium,400,160,0.4,True,auto,2026-09-01,2026-07-23,1,False
