script_id,finding
SC-497,none
SC-498,none
SC-499,none
SC-500,none
SC-501,none
SC-502,none
SC-503,none
SC-504,none
SC-505,none
SC-506,none
SC-507,none
SC-508,none
SC-509,none
SC-510,none
SC-511,none
SC-512,none
SC-513,none
SC-514,none
SC-515,none
SC-516,none
SC-517,none
SC-518,none
SC-519,none
SC-520,none
SC-521,none
SC-522,none
SC-523,none
SC-524,none
SC-525,none
SC-526,none
SC-527,none
SC-528,UNCITED_SCRIPTURE_REF
SC-529,UNCITED_SCRIPTURE_REF
SC-530,UNCITED_SCRIPTURE_REF
SC-531,UNCITED_SCRIPTURE_REF
SC-532,UNCITED_SCRIPTURE_REF
SC-533,UNCITED_SCRIPTURE_REF
SC-534,UNCITED_SCRIPTURE_REF
SC-535,UNCITED_SCRIPTURE_REF
SC-536,UNCITED_SCRIPTURE_REF
SC-537,UNCITED_SCRIPTURE_REF
SC-538,UNCITED_SCRIPTURE_REF
SC-539,UNCITED_SCRIPTURE_REF
SC-540,UNCITED_SCRIPTURE_REF
SC-541,UNCITED_SCRIPTURE_REF
SC-542,UNCITED_SCRIPTURE_REF
SC-543,UNCITED_SCRIPTURE_REF
SC-544,UNCITED_SCRIPTURE_REF
SC-545,UNCITED_SCRIPTURE_REF
SC-546,UNCITED_SCRIPTURE_REF
SC-547,UNCITED_SCRIPTURE_REF
SC-548,UNCITED_SCRIPTURE_REF
SC-549,UNCITED_SCRIPTURE_REF
SC-550,UNCITED_SCRIPTURE_REF
SC-551,UNCITED_SCRIPTURE_REF
SC-552,UNCITED_SCRIPTURE_REF
SC-553,UNCITED_SCRIPTURE_REF
SC-554,UNCITED_SCRIPTURE_REF
SC-555,UNCITED_SCRIPTURE_REF
SC-556,UNCITED_SCRIPTURE_REF
SC-557,UNCITED_SCRIPTURE_REF
SC-558,UNCITED_SCRIPTURE_REF
SC-559,UNCITED_SCRIPTURE_REF
SC-560,UNCITED_SCRIPTURE_REF
SC-561,UNCITED_SCRIPTURE_REF
SC-562,UNCITED_SCRIPTURE_REF
SC-563,UNCITED_SCRIPTURE_REF
SC-564,UNCITED_SCRIPTURE_REF
SC-565,UNCITED_SCRIPTURE_REF
SC-566,UNCITED_SCRIPTURE_REF
SC-567,UNCITED_SCRIPTURE_REF
SC-568,UNCITED_SCRIPTURE_REF
SC-569,UNCITED_SCRIPTURE_REF
SC-570,UNCITED_SCRIPTURE_REF
SC-571,UNCITED_SCRIPTURE_REF
SC-572,UNCITED_SCRIPTURE_REF
SC-573,UNCITED_SCRIPTURE_REF
SC-574,UNCITED_SCRIPTURE_REF
SC-575,UNCITED_SCRIPTURE_REF
SC-576,UNCITED_SCRIPTURE_REF
SC-577,UNCITED_SCRIPTURE_REF
SC-578,none
SC-579,none
SC-580,none
SC-581,none
SC-582,none
SC-583,none
SC-584,none
SC-585,none
SC-586,none
SC-587,none
SC-588,none
SC-589,none
SC-590,none
SC-591,none
SC-592,none
SC-593,none
SC-594,none
SC-595,none
SC-596,none
SC-597,none
SC-598,none
SC-599,none
SC-600,none
SC-601,none
SC-602,none
SC-603,none
SC-604,none
SC-605,none
SC-606,none
SC-607,none
SC-608,none
SC-609,none
SC-610,none
SC-611,none
SC-612,none
SC-613,NEGATION_PIVOT_USED
SC-614,NEGATION_PIVOT_USED
SC-615,NEGATION_PIVOT_USED
SC-616,NEGATION_PIVOT_USED
SC-617,NEGATION_PIVOT_USED
SC-618,NEGATION_PIVOT_USED
SC-619,NEGATION_PIVOT_USED
SC-620,NEGATION_PIVOT_USED
SC-621,NEGATION_PIVOT_USED
SC-622,NEGATION_PIVOT_USED
SC-623,NEGATION_PIVOT_USED
SC-624,NEGATION_PIVOT_USED
SC-625,NEGATION_PIVOT_USED
SC-626,NEGATION_PIVOT_USED
SC-627,NEGATION_PIVOT_USED
SC-628,NEGATION_PIVOT_USED
SC-629,NEGATION_PIVOT_USED
SC-630,NEGATION_PIVOT_USED
SC-631,NEGATION_PIVOT_USED
SC-632,NEGATION_PIVOT_USED
SC-633,NEGATION_PIVOT_USED
SC-634,NEGATION_PIVOT_USED
SC-635,NEGATION_PIVOT_USED
SC-636,NEGATION_PIVOT_USED
SC-637,NEGATION_PIVOT_USED
SC-638,NEGATION_PIVOT_USED
SC-639,NEGATION_PIVOT_USED
SC-640,NEGATION_PIVOT_USED
SC-641,NEGATION_PIVOT_USED
SC-642,NEGATION_PIVOT_USED
SC-643,NEGATION_PIVOT_USED
SC-644,NEGATION_PIVOT_USED
SC-645,NEGATION_PIVOT_USED
SC-646,NEGATION_PIVOT_USED
SC-647,NEGATION_PIVOT_USED
SC-648,NEGATION_PIVOT_USED
SC-649,NEGATION_PIVOT_USED
SC-650,NEGATION_PIVOT_USED
SC-651,NEGATION_PIVOT_USED
SC-652,NEGATION_PIVOT_USED
SC-653,ON_HOLD
SC-654,ON_HOLD
SC-655,ON_HOLD
SC-656,ON_HOLD
SC-657,ON_HOLD
SC-658,ON_HOLD
SC-659,ON_HOLD
SC-660,ON_HOLD
SC-661,ON_HOLD
SC-662,ON_HOLD
SC-663,none
SC-664,none
SC-665,none
SC-666,none
SC-667,none
SC-668,none
SC-669,none
SC-670,none
SC-671,none
SC-672,none
SC-673,none
SC-674,none
SC-675,none
SC-676,none
SC-677,none
SC-678,none
SC-679,none
SC-680,none
SC-681,none
SC-682,none
SC-683,none
SC-684,none
SC-685,none
SC-686,none
SC-687,none
SC-688,none
SC-689,none
SC-690,none
SC-691,none
SC-692,none
SC-693,none
SC-694,none
SC-695,none
SC-696,none
SC-697,none
SC-698,none
SC-699,none
SC-700,none
SC-701,none
SC-702,none
SC-703,none
SC-704,none
SC-705,none
SC-706,none
SC-707,RUNTIME_OUT_OF_BAND
SC-708,RUNTIME_OUT_OF_BAND
SC-709,RUNTIME_OUT_OF_BAND
SC-710,RUNTIME_OUT_OF_BAND
SC-711,RUNTIME_OUT_OF_BAND
SC-712,RUNTIME_OUT_OF_BAND
SC-713,RUNTIME_OUT_OF_BAND
SC-714,RUNTIME_OUT_OF_BAND
SC-715,RUNTIME_OUT_OF_BAND
SC-716,RUNTIME_OUT_OF_BAND
SC-717,RUNTIME_OUT_OF_BAND
SC-718,RUNTIME_OUT_OF_BAND
SC-719,RUNTIME_OUT_OF_BAND
SC-720,RUNTIME_OUT_OF_BAND
SC-721,RUNTIME_OUT_OF_BAND
SC-722,RUNTIME_OUT_OF_BAND
SC-723,RUNTIME_OUT_OF_BAND
SC-724,RUNTIME_OUT_OF_BAND
SC-725,RUNTIME_OUT_OF_BAND
SC-726,RUNTIME_OUT_OF_BAND
SC-727,none
SC-728,none
SC-729,none
SC-730,none
SC-731,none
SC-732,none
SC-733,none
SC-734,none
SC-735,RUNTIME_OUT_OF_BAND
SC-736,RUNTIME_OUT_OF_BAND
SC-737,RUNTIME_OUT_OF_BAND
SC-738,none
SC-739,none
SC-740,none
SC-741,none
SC-742,none
SC-743,none
SC-744,none
SC-745,none
SC-746,none
SC-747,RUNTIME_OUT_OF_BAND
SC-748,RUNTIME_OUT_OF_BAND
SC-749,RUNTIME_OUT_OF_BAND
SC-750,RUNTIME_OUT_OF_BAND
SC-751,RUNTIME_OUT_OF_BAND
SC-752,RUNTIME_OUT_OF_BAND
SC-753,RUNTIME_OUT_OF_BAND
SC-754,RUNTIME_OUT_OF_BAND
SC-755,RUNTIME_OUT_OF_BAND
SC-756,RUNTIME_OUT_OF_BAND
SC-757,RUNTIME_OUT_OF_BAND
SC-758,RUNTIME_OUT_OF_BAND
SC-759,RUNTIME_OUT_OF_BAND
SC-760,RUNTIME_OUT_OF_BAND
SC-761,RUNTIME_OUT_OF_BAND
SC-762,RUNTIME_OUT_OF_BAND
SC-763,RUNTIME_OUT_OF_BAND
SC-764,RUNTIME_OUT_OF_BAND
SC-765,RUNTIME_OUT_OF_BAND
SC-766,RUNTIME_OUT_OF_BAND
SC-767,RUNTIME_OUT_OF_BAND
SC-768,RUNTIME_OUT_OF_BAND
SC-769,RUNTIME_OUT_OF_BAND
SC-770,none
SC-771,none
SC-772,none
SC-773,none
SC-774,none
SC-775,none
SC-776,none
SC-777,none
SC-778,none
SC-779,RUNTIME_OUT_OF_BAND
SC-780,RUNTIME_OUT_OF_BAND
SC-781,RUNTIME_OUT_OF_BAND
SC-782,RUNTIME_OUT_OF_BAND
SC-783,RUNTIME_OUT_OF_BAND
SC-784,RUNTIME_OUT_OF_BAND
SC-785,RUNTIME_OUT_OF_BAND
SC-786,RUNTIME_OUT_OF_BAND
SC-787,none
SC-788,none
SC-789,none
SC-790,none
SC-791,RUNTIME_OUT_OF_BAND
SC-792,none
SC-793,RUNTIME_OUT_OF_BAND
SC-794,none
SC-795,none
SC-796,RUNTIME_OUT_OF_BAND
SC-797,RUNTIME_OUT_OF_BAND
SC-798,RUNTIME_OUT_OF_BAND
SC-799,none
SC-800,none
SC-801,RUNTIME_OUT_OF_BAND
SC-802,RUNTIME_OUT_OF_BAND
SC-803,RUNTIME_OUT_OF_BAND
SC-804,none
SC-805,none
SC-806,none
SC-807,none
SC-808,RUNTIME_OUT_OF_BAND
SC-809,none
SC-810,none
SC-811,none
SC-812,RUNTIME_OUT_OF_BAND
SC-813,RUNTIME_OUT_OF_BAND
SC-814,RUNTIME_OUT_OF_BAND
SC-815,none
SC-816,none
SC-817,none
SC-818,none
SC-819,none
SC-820,none
SC-821,RUNTIME_OUT_OF_BAND
SC-822,none
SC-823,none
SC-824,RUNTIME_OUT_OF_BAND
SC-825,none
SC-826,RUNTIME_OUT_OF_BAND
SC-827,none
SC-828,RUNTIME_OUT_OF_BAND
SC-829,none
SC-830,none
SC-831,none
SC-832,RUNTIME_OUT_OF_BAND
SC-833,RUNTIME_OUT_OF_BAND
SC-834,none
SC-835,none
SC-836,none
SC-837,RUNTIME_OUT_OF_BAND
SC-838,RUNTIME_OUT_OF_BAND
SC-839,ON_HOLD
SC-840,ON_HOLD
SC-841,ON_HOLD
SC-842,ON_HOLD
SC-843,ON_HOLD
SC-844,RETIRED
SC-845,none
SC-846,none
SC-847,none
SC-848,none
SC-849,RETIRED
SC-850,none
SC-851,none
SC-852,none
SC-853,none
SC-854,RETIRED
SC-855,none
SC-856,none
SC-857,none
SC-858,none
SC-859,RETIRED
SC-860,none
SC-861,none
SC-862,none
SC-863,none
SC-864,RETIRED
SC-865,RETIRED
SC-866,RETIRED
SC-867,RETIRED
SC-868,RETIRED
SC-869,RETIRED
SC-870,RETIRED
SC-871,RETIRED
SC-872,OUT_OF_WINDOW
SC-873,none
SC-874,none
SC-875,none
SC-876,none
SC-877,none
SC-878,none
SC-879,none
SC-880,OUT_OF_WINDOW
SC-881,none
SC-882,none
SC-883,none
SC-884,none
SC-885,none
SC-886,none
SC-887,none
SC-888,OUT_OF_WINDOW
SC-889,none
SC-890,none
SC-891,none
SC-892,none
SC-893,none
SC-894,none
SC-895,none
SC-896,OUT_OF_WINDOW
SC-897,none
SC-898,none
SC-899,none
SC-900,none
SC-901,none
SC-902,none
SC-903,none
SC-904,OUT_OF_WINDOW
SC-905,OUT_OF_WINDOW
SC-906,OUT_OF_WINDOW
SC-907,OUT_OF_WINDOW
SC-908,NEGATION_PIVOT_USED
SC-909,none
SC-910,NEGATION_PIVOT_USED
SC-911,NEGATION_PIVOT_USED
SC-912,NEGATION_PIVOT_USED
SC-913,none
SC-914,NEGATION_PIVOT_USED
SC-915,NEGATION_PIVOT_USED
SC-916,NEGATION_PIVOT_USED
SC-917,none
SC-918,NEGATION_PIVOT_USED
SC-919,NEGATION_PIVOT_USED
SC-920,NEGATION_PIVOT_USED
SC-921,none
SC-922,NEGATION_PIVOT_USED
SC-923,NEGATION_PIVOT_USED
SC-924,NEGATION_PIVOT_USED
SC-925,none
SC-926,NEGATION_PIVOT_USED
SC-927,NEGATION_PIVOT_USED
SC-928,NEGATION_PIVOT_USED
SC-929,none
SC-930,NEGATION_PIVOT_USED
SC-931,NEGATION_PIVOT_USED
SC-932,NEGATION_PIVOT_USED
SC-933,none
SC-934,NEGATION_PIVOT_USED
SC-935,NEGATION_PIVOT_USED
SC-936,none
SC-937,RUNTIME_OUT_OF_BAND
SC-938,RUNTIME_OUT_OF_BAND
SC-939,none
SC-940,RUNTIME_OUT_OF_BAND
SC-941,UNCITED_SCRIPTURE_REF
SC-942,UNCITED_SCRIPTURE_REF
SC-943,UNCITED_SCRIPTURE_REF
SC-944,UNCITED_SCRIPTURE_REF
SC-945,UNCITED_SCRIPTURE_REF
SC-946,UNCITED_SCRIPTURE_REF
SC-947,UNCITED_SCRIPTURE_REF
SC-948,UNCITED_SCRIPTURE_REF
SC-949,UNCITED_SCRIPTURE_REF
SC-950,UNCITED_SCRIPTURE_REF
SC-951,UNCITED_SCRIPTURE_REF
SC-952,UNCITED_SCRIPTURE_REF
SC-953,UNCITED_SCRIPTURE_REF
SC-954,UNCITED_SCRIPTURE_REF
SC-955,UNCITED_SCRIPTURE_REF
SC-956,UNCITED_SCRIPTURE_REF
SC-957,UNCITED_SCRIPTURE_REF
SC-958,UNCITED_SCRIPTURE_REF
SC-959,UNCITED_SCRIPTURE_REF
SC-960,UNCITED_SCRIPTURE_REF
SC-961,UNCITED_SCRIPTURE_REF
SC-962,UNCITED_SCRIPTURE_REF
SC-963,UNCITED_SCRIPTURE_REF
SC-964,UNCITED_SCRIPTURE_REF
SC-965,UNCITED_SCRIPTURE_REF
SC-966,UNCITED_SCRIPTURE_REF
SC-967,UNCITED_SCRIPTURE_REF
SC-968,UNCITED_SCRIPTURE_REF
SC-969,UNCITED_SCRIPTURE_REF
SC-970,UNCITED_SCRIPTURE_REF
SC-971,none
SC-972,RUNTIME_OUT_OF_BAND
SC-973,RUNTIME_OUT_OF_BAND
SC-974,none
SC-975,RUNTIME_OUT_OF_BAND
SC-976,none
SC-977,RUNTIME_OUT_OF_BAND
SC-978,RUNTIME_OUT_OF_BAND
SC-979,none
SC-980,RUNTIME_OUT_OF_BAND
SC-981,none
SC-982,RUNTIME_OUT_OF_BAND
SC-983,RUNTIME_OUT_OF_BAND
SC-984,none
SC-985,RUNTIME_OUT_OF_BAND
SC-986,none
SC-987,RUNTIME_OUT_OF_BAND
SC-988,RUNTIME_OUT_OF_BAND
SC-989,none
SC-990,RUNTIME_OUT_OF_BAND
SC-991,none
SC-992,RUNTIME_OUT_OF_BAND
SC-993,RUNTIME_OUT_OF_BAND
SC-994,none
SC-995,RUNTIME_OUT_OF_BAND
SC-996,none
SC-997,RUNTIME_OUT_OF_BAND
SC-998,RUNTIME_OUT_OF_BAND
SC-999,none
SC-1000,RUNTIME_OUT_OF_BAND
SC-1001,none
SC-1002,RUNTIME_OUT_OF_BAND
SC-1003,RUNTIME_OUT_OF_BAND
SC-1004,none
SC-1005,RUNTIME_OUT_OF_BAND
SC-1006,none
SC-1007,RUNTIME_OUT_OF_BAND
SC-1008,RUNTIME_OUT_OF_BAND
SC-1009,none
SC-1010,RUNTIME_OUT_OF_BAND
SC-1011,none
SC-1012,RUNTIME_OUT_OF_BAND
SC-1013,RUNTIME_OUT_OF_BAND
SC-1014,none
SC-1015,RUNTIME_OUT_OF_BAND
SC-1016,none
